run_tag,config_id,window,n_completed,mean_gross_pct,mean_net_old_pct,mean_net_new_pct,mean_net_diff_pp,mean_drag_old_pp,mean_drag_new_pp,total_profit_old_yuan,total_profit_new_yuan,total_fees_old_yuan,total_fees_new_yuan
R1,H1-reversal-h10,dev,3880,-2.375991001697355,-2.5251617564209847,-2.4735906107933836,0.05157114562760117,0.14917075472362984,0.09759960909602865,-4765799.295409563,-4667837.09007224,284595.7526802761,186633.54734295304
R1,H1-reversal-h10,validation,2822,-1.0063762944737416,-1.1210909862129426,-1.1053451759588966,0.01574581025404599,0.11471469173920101,0.09896888148515502,-1528079.9352453882,-1506627.4629825943,158566.9805467704,137114.50828397603
R1,H1-reversal-h3,dev,3875,-0.59451929972161,-0.7464995997518634,-0.6938999352630032,0.052599664488860186,0.15198030003025342,0.0993806355413932,-1406378.6358090723,-1306582.3284679495,288726.92355693394,188930.6162158109
R1,H1-reversal-h3,validation,2844,-0.35309679360164675,-0.4686675161601227,-0.4527187913086185,0.01594872485150424,0.11557072255847592,0.09962199770697168,-649155.8778369726,-627157.2816089041,160861.84470321867,138863.24847514968
R1,H1-reversal-h5,dev,3884,-1.2689291776761737,-1.4198496825909779,-1.3676355718999418,0.052214110691035896,0.15092050491480383,0.09870639422376794,-2689198.2151218904,-2589904.3301921156,287697.86166468175,188403.9767349071
R1,H1-reversal-h5,validation,2833,-0.5029217319158621,-0.6182765795994365,-0.6023939421313924,0.015882637468044147,0.11535484768357442,0.09947221021553027,-848929.6962913001,-827127.3169841999,159975.41759808105,138173.0382909801
R1,H2-chase-h10,dev,4047,-2.3448404216625454,-2.4943270773896487,-2.44247117355291,0.05185590383673834,0.1494866557271033,0.09763075189036495,-4865051.6306496635,-4763495.974225743,293801.64993838756,192245.99351446654
R1,H2-chase-h10,validation,2659,-3.677982233823905,-3.7901736302352607,-3.774280177104262,0.01589345313099869,0.1121913964113549,0.09629794328035621,-4936572.959236706,-4916516.623922929,146181.4466793589,126125.111365582
R1,H2-chase-h3,dev,4032,-1.0284768466781296,-1.1801349848934013,-1.1274236331348375,0.05271135175856391,0.15165813821527166,0.09894678645670776,-2279021.3248781213,-2176248.199506405,296215.82324549236,193442.69787377553
R1,H2-chase-h3,validation,2596,-1.3700981182827827,-1.4851252279185907,-1.4687033688518578,0.016421859066732852,0.11502710963580814,0.09860525056907528,-1883499.4765471467,-1862945.2768237172,145863.5427730994,125309.34304966946
R1,H2-chase-h5,dev,4030,-1.498997002217261,-1.6498779609870895,-1.5974733861190686,0.05240457486802094,0.15088095876982843,0.09847638390180752,-3174195.5685090926,-3072039.960784198,294834.77412911004,192679.166404215
R1,H2-chase-h5,validation,2631,-2.2850644796714974,-2.398692152316721,-2.3827549925636027,0.015937159753118407,0.11362767264522379,0.09769051289210538,-3094995.4447650975,-3074903.8159459224,146230.67324053135,126139.04442135658
R1,H2-pullback-h10,dev,4213,-1.6461641060486838,-1.7966399935146076,-1.744494035765909,0.05214595774869866,0.15047588746592383,0.09832992971722516,-3623856.1475345935,-3517408.937715257,307970.7775721305,201523.56775279436
R1,H2-pullback-h10,validation,2834,-2.579661790445014,-2.692460663368164,-2.677057779657266,0.015402883710898,0.11279887292315012,0.09739598921225211,-3715079.837939222,-3694228.6676550657,156565.56257763552,135714.3922934788
R1,H2-pullback-h3,dev,4239,-0.9064685118751673,-1.0581969713069799,-1.0055372761722179,0.05265969513476215,0.15172845943181262,0.09906876429705049,-2159037.3745766357,-2050934.5623458799,311972.8748559652,203870.0626252095
