factor,cum_contribution,mean_monthly,t_stat,n_months,contrib_2015,contrib_2016,contrib_2017,contrib_2018,contrib_2019,contrib_2020,n_pos_years,n_neg_years
A17,0.09884776200066532,0.0014536435588333135,1.2536431385816442,68,0.02567429146667337,0.02237357805709847,0.0163192135130924,-0.01013921155075051,0.0157869900399804,0.028832900474571165,5,1
A20,0.054171128873681806,0.0007966342481423795,0.8461986858283431,68,-0.0015902202815835046,0.03062001233490362,0.01555974421519805,-0.020399353853662597,0.017184228646949982,0.012796717811876256,4,2
A25,0.07516732709037442,0.0011054018689760944,1.0306419048165667,68,0.009216231133263711,0.0015910039821827177,0.013400691252435693,-0.02121569053131015,0.05127257067827589,0.020902520575526516,5,1
B11,0.08918078678083118,0.001311482158541635,1.2660357105924724,68,0.006577636977679303,0.02056872245826476,0.0038494547081849807,-0.03199916411948061,0.043163777778599595,0.04702035897758316,5,1
B12,0.026945014700761036,0.00041453868770401596,0.43550214822738503,65,-0.00020815414925901346,0.01552568699061622,-0.008321271514322834,-0.015273178444833222,0.02740171049611768,0.007820221322442209,3,3
B14,0.054028997431536066,0.0007945440798755303,0.8479497741313671,68,0.023489103515203898,0.03264340255004697,0.008430190660759538,-0.013504979475307821,-0.009967372176400594,0.012938652357234095,4,2
C19,0.040804494877249686,0.0006000661011360248,0.7483364480298821,68,-0.003988824179122646,0.02326843388582228,-0.01010844432928678,-0.015164199030682625,0.039109806030647315,0.007687722499872141,3,3
D10,0.05667315498555811,0.0008334287497876192,0.8962432600737847,68,0.014900348582125912,0.026372841412419332,0.0212321277602796,-0.027730085365588977,0.03253468404111781,-0.010636761444795577,4,2
D13,0.07051116504770108,0.00103692889776031,0.9265434327501344,68,-0.011198044565876582,0.014877669474880034,0.05094406427940398,-0.03425525795023288,0.04346799910084219,0.0066747347086843385,4,2
D14,0.031302820657589506,0.00046033559790572805,0.48961711015194564,68,-0.002369646093450528,0.005674780653642135,0.013177622838350101,-0.027067043216766846,0.028232268773734078,0.01365483770208056,4,2
D18,0.10625562356938198,0.001562582699549735,1.5045130422635098,68,0.005088431104907131,0.02426976404051713,0.03283173840162429,-0.00691194224894689,0.022790383910150563,0.028187248361129753,5,1
D19,0.013111019420491612,0.00019280910912487665,0.18652978781964125,68,0.005561211890124856,0.014739996390728984,0.013709233932892535,-0.0260869029691598,0.02992312313533607,-0.02473564295943102,4,2
D20,0.03560514858021707,0.0005236051261796629,0.5520106028795393,68,-0.0009673208065187171,0.0003679087700037805,0.033956054187505524,-0.027218848751689437,0.02165170630415594,0.007815648876759989,4,2
D30,0.04892729969627073,0.0007195191131804519,0.5548614598055681,68,0.005422431457139842,0.02243368196815745,0.016891744546113308,-0.028601460555206397,0.01678261160178681,0.01599829067827971,5,1
E16,0.08032406481143585,0.0011812362472269978,1.7141607245436425,68,-0.010660836808016758,0.02300743351226137,0.01717933717745108,-0.009091400205148512,0.023732431469384776,0.03615709966550388,4,2
F06,0.013970018862521317,0.0002054414538606076,0.21434616985127222,68,-0.004291741422126186,0.008635685725795362,0.0038949023534081053,-0.01456148549349591,0.0332514712574669,-0.012958813558526936,3,3
F09,0.03669303820442085,0.000539603503006189,0.524210907201847,68,-0.001554739702169211,0.023123499529599946,-0.0008031158885223582,-0.021668236530046594,0.024217344274148962,0.013378286521410111,3,3
