factor,cum_contribution,mean_monthly,t_stat,n_months,contrib_2015,contrib_2016,contrib_2017,contrib_2018,contrib_2019,contrib_2020,n_pos_years,n_neg_years
A17,0.08387620271026583,0.0012334735692686152,0.942033281004131,68,0.027761855674068928,0.04034684584956572,-0.009370735159708266,-0.014339266485114376,0.0015720137573561818,0.03790548907409764,4,2
A20,0.06814642945515954,0.0010021533743405815,0.9233338408560665,68,0.008812546126321742,0.03693121892829687,0.0009370829803886347,-0.014634936073349016,0.01760644233925609,0.018494075154245226,5,1
A25,0.053032439004101525,0.0007798888088838459,0.8129877172587479,68,0.016061898229114007,0.004324491642288054,-0.009722412852738126,-0.010624380587683863,0.025176933170253726,0.027815909402867708,4,2
B11,0.07067938065806738,0.001039402656736285,0.8976740147484049,68,0.012867827332693017,0.03237312500650953,-0.011968959395879001,-0.028357033305059415,0.011547510566782663,0.0542169104530206,4,2
B12,0.016415108334943588,0.00025254012822990135,0.30413832755917897,65,-0.0036447560324289995,0.01638679445080856,-0.014034693539418577,-0.010229597967733749,0.008084154085625114,0.01985320733809124,3,3
B14,0.024313792973952555,0.00035755577902871406,0.4040322610222285,68,0.024439671762966547,0.02612805129629272,0.0025441089192961286,-0.010005071279008458,-0.023988808851656752,0.005195841126062367,4,2
C19,0.05350125579018035,0.0007867831733850051,0.9735826526959316,68,0.0002788704844382435,0.02364973750887941,-0.01041416629157472,-0.010869894073968094,0.03141059219938357,0.019446115963021943,4,2
D10,0.026861973649187028,0.0003950290242527504,0.5219104118479988,68,0.012660363970182002,0.025698356969234254,0.004643637195821281,-0.015210103426096194,-0.0044470415182652386,0.003516760458310935,4,2
D13,0.045052664693049235,0.0006625391866624887,0.8158292601898083,68,-0.012365653864743212,0.030171185045553117,0.013503049666223451,-0.015414134279666616,0.01668847684233426,0.01246974128334825,4,2
D14,0.033893390602642424,0.0004984322147447416,0.6867795668706803,68,-0.0034004378454322616,0.02170077175084486,-0.010178716969186291,-0.01486696247335323,0.015987662036529314,0.02465107410324003,3,3
D18,0.12287635840454436,0.001807005270655064,1.9722427822012765,68,0.011670734519383445,0.02505644579858903,0.014218311391946124,-0.0010443189229751154,0.01416865639116902,0.0588065292264319,5,1
D19,0.007864917375447748,0.00011566054963893747,0.12191396961368116,68,0.010398419110742128,0.027552956500783467,-0.02043116879402885,-0.013195589824100209,0.004654301519392355,-0.0011140011373411488,3,3
D20,0.04724308825421096,0.0006947512978560435,1.0125641026236798,68,-0.010128796692492146,0.010095527701375426,0.0038157249619407384,-0.005838394561907421,0.014918718197548295,0.03438030864774606,4,2
D30,0.024597582621901613,0.0003617291562044355,0.32441311499094116,68,0.007088984289894004,0.03519540624546466,-0.017690892021182045,-0.01075857107363853,-0.027507559853857597,0.038270215035221135,3,3
E16,0.05848924182562969,0.0008601359092004366,1.2041285381616154,68,-0.00856756875684919,0.027866580725682297,0.014557631978079945,-0.006334259811234031,-0.00800157083930637,0.03896842852925703,3,3
F06,0.017570853887152335,0.0002583949101051814,0.28523356964358126,68,0.0027984986880545196,0.01637878992798149,0.0006106623815851919,-0.004653300484200527,0.0038308571560916223,-0.0013946537823599746,4,2
F09,0.048206713548602995,0.0007089222580676911,0.6385705046617445,68,0.00010604118821487193,0.04060555402490163,-0.01748488892787935,-0.00812991222459315,0.004413931771874605,0.028695987716084365,4,2
