type,n,mean_raw_h20,mean_adj_h20,sd_raw_h20
扭亏,536,0.053256356891552746,0.013875341595023075,0.19581358753963568
略减,384,0.0450130561183034,-0.005910015441990987,0.15756259120626212
略增,644,0.06593935520725426,-0.008922199704995307,0.15412291526348493
续亏,507,0.008185815887637478,-0.009078710711020503,0.25011408456672857
续盈,168,0.09237912298587733,0.0039151591488288525,0.14142301987251263
预减,1119,0.04945682785377085,0.0021400188944443784,0.19679477430193354
预增,2070,0.03926834207237907,-0.00434004004154984,0.1731288467085651
首亏,1228,0.06306540676322903,0.009049284023956196,0.2386712541901227
