date,session,cash,pending_am_to_pm,pending_next_day,equity_snapshot,host_recomputed,reconcile_abs_diff,positions,marks,month_end
2019-01-02,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:None|sh.518880:None|sz.159934:None,false
2019-01-02,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.267|sh.518880:2.837|sz.159934:2.82,false
2019-01-03,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.267|sh.518880:2.837|sz.159934:2.82,false
2019-01-03,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.32|sh.518880:2.868|sz.159934:2.842,false
2019-01-04,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.32|sh.518880:2.868|sz.159934:2.842,false
2019-01-04,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.527|sh.518880:2.853|sz.159934:2.838,false
2019-01-07,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.527|sh.518880:2.853|sz.159934:2.838,false
2019-01-07,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.638|sh.518880:2.841|sz.159934:2.82,false
2019-01-08,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.638|sh.518880:2.841|sz.159934:2.82,false
2019-01-08,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.622|sh.518880:2.828|sz.159934:2.81,false
2019-01-09,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.622|sh.518880:2.828|sz.159934:2.81,false
2019-01-09,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.624|sh.518880:2.817|sz.159934:2.8,false
2019-01-10,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.624|sh.518880:2.817|sz.159934:2.8,false
2019-01-10,pm,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.617|sh.518880:2.823|sz.159934:2.804,false
2019-01-11,am,200000.0,0.0,0.0,200000.0,200000.0,0.0,"",sh.511010:116.617|sh.518880:2.823|sz.159934:2.804,false
