event_id,symbol,announcement_version,ann_date,decision_time,start_timestamp,type_upgrade,numeric_revision,numeric_available,admission_rank,risk_state,held_seats,pending_seats,category,issued,order_price_first,order_price_last,n_submissions,order_outcomes,fill_day,fill_price,decision_anchor_price,skip_or_cancel_reason,diag_ret_from_decision_20,diag_ret_from_announcement_20,ret_from_fill_cost_20,decision_to_fill_price_ret,label_end_decision,window_complete,crosses_dev_boundary,matched_control_return,pool_mean_20,pool_n,pool_n_complete,actual_net_pnl,buy_cost,pnl_over_buy_cost,sell_proceeds,dividend_cash,outcome
B1|sz.002299|20181231|a2019-01-08|u0,sz.002299,20181231#u0,2019-01-08,2019-01-09 am,2019-01-09 am,false,true,true,1,normal,0,0,issued,true,17.63,17.63,1,"{""filled_limit_buy"": 1}",2019-01-09,17.63,17.63,"",0.1978273299028015,0.20512820512820507,0.18831537152580813,0.0,2019-02-13,true,false,0.03930712858094587,0.036822458390635984,897,897,9795.765999999992,49369.0,0.19841937248070637,59164.76599999999,0.0,filled
B1|sz.002916|20181231|a2019-01-08|u0,sz.002916,20181231#u0,2019-01-08,2019-01-09 am,2019-01-09 am,false,true,true,2,normal,0,1,issued,true,86.87,86.87,1,"{""filled_limit_buy"": 1}",2019-01-09,86.87,86.87,"",0.18770491803278633,0.1981143193871533,0.16760676873489078,0.0,2019-02-13,true,false,0.03930712858094587,0.036822458390635984,897,897,7269.158499999998,43440.0,0.16733790285451192,50709.1585,0.0,filled
B1|sz.002024|20181231|a2019-01-09|u0,sz.002024,20181231#u0,2019-01-09,2019-01-10 am,2019-01-10 am,false,true,true,1,normal,2,0,issued,true,10.77,10.77,1,"{""filled_limit_buy"": 1}",2019-01-10,10.77,10.77,"",0.08247422680412364,0.06710158434296343,0.07242339832869082,0.0,2019-02-14,true,false,0.04524361948955913,0.04732892274418653,897,897,2605.569000000003,49547.0,0.052587825700849765,52152.569,0.0,filled
B1|sz.002157|20181231|a2019-01-09|u0,sz.002157,20181231#u0,2019-01-09,2019-01-10 am,2019-01-10 am,false,true,true,2,normal,2,1,issued,true,5.83,5.83,1,"{""filled_limit_buy"": 1}",2019-01-10,5.83,5.83,"",0.26516464471403745,0.2445193929173688,0.25214408233276075,0.0,2019-02-14,true,false,0.04524361948955913,0.04732892274418653,897,897,12849.518000000004,49560.0,0.25927195318805496,62409.518000000004,0.0,filled
B1|sz.002475|20181231|a2019-01-10|u0,sz.002475,20181231#u0,2019-01-10,2019-01-11 am,2019-01-11 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,14.8,slot_full,0.15932203389830568,0.1549295774647892,,,2019-02-15,true,false,0.03401360544217713,0.03450928517134515,897,897,,,,,,never_seen
B1|sz.002405|20181231|a2019-01-12|u0,sz.002405,20181231#u0,2019-01-12,2019-01-14 am,2019-01-14 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,15.76,slot_full,0.29840255591054277,0.2075949367088601,,,2019-02-18,true,false,0.07205623901581681,0.07799947552611107,897,897,,,,,,never_seen
B1|sz.002234|20181231|a2019-01-15|u0,sz.002234,20181231#u0,2019-01-15,2019-01-16 am,2019-01-16 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,12.63,slot_full,0.649402390438248,0.5019952114924191,,,2019-02-20,true,false,0.06374501992031845,0.0755077369640681,897,897,,,,,,never_seen
B1|sz.002353|20181231|a2019-01-18|u0,sz.002353,20181231#u0,2019-01-18,2019-01-21 am,2019-01-21 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,17.77,slot_full,0.16478555304740405,0.17296340023612733,,,2019-02-25,true,false,0.1354401805869072,0.15953558428011005,897,897,,,,,,never_seen
B1|sz.002755|20181231|a2019-01-22|u0,sz.002755,20181231#u0,2019-01-22,2019-01-23 am,2019-01-23 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,15.36,slot_full,0.09362549800796849,0.08049113233287897,,,2019-02-27,true,false,0.14429868819374292,0.16713570931081798,897,897,,,,,,never_seen
B1|sz.002302|20181231|a2019-01-25|u0,sz.002302,20181231#u0,2019-01-25,2019-01-28 am,2019-01-28 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,9.39,slot_full,0.28693790149892884,0.2780172413793103,,,2019-03-04,true,false,0.1818996415770613,0.2111134038236196,897,897,,,,,,never_seen
