event_id,symbol,end_date,ann_date,update_flag,source_rows_matched,has_previous_version,funnel_type_upgrade,recomputed_type_upgrade,type_upgrade_match,funnel_numeric_revision,recomputed_numeric_revision,numeric_revision_match,funnel_numeric_available,recomputed_numeric_available,numeric_available_match,current_type,previous_type,current_net_profit_min,current_net_profit_max,previous_net_profit_min,previous_net_profit_max
B1|sz.002757|20190331|a2019-04-15|u0,sz.002757,20190331,2019-04-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,5056.0,5843.0,3806.0,4593.0
B1|sz.002669|20190331|a2019-04-16|u1,sz.002669,20190331,2019-04-16,1,1,True,False,False,True,True,True,True,True,True,True,预增,预增,2480.0,2679.0,1439.0,1835.0
B1|sz.002592|20190630|a2019-07-04|u0,sz.002592,20190630,2019-07-04,0,1,True,False,False,True,True,True,True,True,True,True,首亏,首亏,-1500.0,-800.0,-2300.0,-1500.0
B1|sz.002182|20190630|a2019-07-09|u0,sz.002182,20190630,2019-07-09,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,26000.0,28000.0,9000.0,14000.0
B1|sz.002299|20190630|a2019-07-09|u0,sz.002299,20190630,2019-07-09,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,165000.0,166000.0,135000.0,150000.0
B1|sz.000912|20190630|a2019-07-13|u1,sz.000912,20190630,2019-07-13,1,1,True,False,False,True,True,True,True,True,True,True,预减,预减,8000.0,11000.0,4000.0,6000.0
B1|sz.002745|20190630|a2019-07-12|u0,sz.002745,20190630,2019-07-12,0,1,True,False,False,True,True,True,True,True,True,True,略减,略减,33800.0,39800.0,28000.0,32000.0
B1|sz.002869|20190630|a2019-07-12|u0,sz.002869,20190630,2019-07-12,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,4200.0,4800.0,800.0,1300.0
B1|sz.002835|20190630|a2019-07-15|u1,sz.002835,20190630,2019-07-15,1,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,900.0,1300.0,-500.0,400.0
B1|sz.002299|20190930|a2019-10-09|u1,sz.002299,20190930,2019-10-09,1,1,True,False,False,True,True,True,True,True,True,True,预增,预增,270000.0,271000.0,245000.0,255000.0
B1|sz.002318|20190930|a2019-10-09|u1,sz.002318,20190930,2019-10-09,1,1,True,False,False,True,True,True,True,True,True,True,预增,预增,34493.0,38804.0,30181.0,34493.0
B1|sz.002639|20190930|a2019-10-11|u0,sz.002639,20190930,2019-10-11,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,5000.0,5600.0,3750.0,5000.0
B1|sz.002151|20190930|a2019-10-15|u1,sz.002151,20190930,2019-10-15,1,1,True,False,False,True,True,True,True,True,True,True,预减,预减,0.0,500.0,-3500.0,-1000.0
B1|sz.002429|20190930|a2019-10-15|u0,sz.002429,20190930,2019-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,60560.0,71247.0,53435.0,64122.0
B1|sz.002481|20190930|a2019-10-15|u0,sz.002481,20190930,2019-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,14036.0,15540.0,11530.0,14036.0
B1|sz.002628|20190930|a2019-10-15|u0,sz.002628,20190930,2019-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,3142.0,3473.0,2646.0,3473.0
B1|sz.002709|20190930|a2019-10-15|u0,sz.002709,20190930,2019-10-15,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,8500.0,10000.0,7000.0,10000.0
B1|sz.002512|20190930|a2019-10-16|u0,sz.002512,20190930,2019-10-16,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,28000.0,32000.0,0.0,1000.0
B1|sz.002299|20191231|a2020-01-04|u0,sz.002299,20191231,2020-01-04,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,408000.0,420000.0,370500.0,380500.0
B1|sz.002182|20191231|a2020-01-20|u0,sz.002182,20191231,2020-01-20,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,80000.0,85000.0,66000.0,72000.0
B1|sz.002489|20191231|a2020-01-20|u0,sz.002489,20191231,2020-01-20,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,48000.0,53000.0,40000.0,50000.0
B1|sz.002903|20191231|a2020-01-21|u0,sz.002903,20191231,2020-01-21,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,400.0,600.0,-1100.0,200.0
B1|sz.002184|20191231|a2020-01-31|u0,sz.002184,20191231,2020-01-31,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,4500.0,5500.0,2500.0,3500.0
B1|sz.002335|20191231|a2020-01-31|u0,sz.002335,20191231,2020-01-31,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,17569.0,21308.0,10467.0,14205.0
B1|sz.002941|20191231|a2020-01-31|u0,sz.002941,20191231,2020-01-31,0,1,True,False,False,True,True,True,True,True,True,True,预减,预减,14000.0,20000.0,6000.0,9000.0
