record_type,key,symbol,family,anchor_date,label_end_at,n_own_sessions,n_market_sessions,window_complete,crosses_dev_boundary,censoring_reason,retained,deleted,funnel_label_end_decision,label_end_match,note
b1_event_window,B1|sz.002882|20190331|a2019-04-10|u0,sz.002882,B1,2019-04-11,2019-05-14,20,20,True,False,,True,False,2019-05-14,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002079|20190331|a2019-04-11|u0,sz.002079,B1,2019-04-12,2019-05-15,20,20,True,False,,True,False,2019-05-15,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002398|20190331|a2019-04-11|u0,sz.002398,B1,2019-04-12,2019-05-15,20,20,True,False,,True,False,2019-05-15,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002012|20190331|a2019-04-13|u0,sz.002012,B1,2019-04-15,2019-05-16,20,20,True,False,,True,False,2019-05-16,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002021|20190331|a2019-04-13|u0,sz.002021,B1,2019-04-15,2019-05-17,20,21,True,False,,True,False,2019-05-17,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002151|20190331|a2019-04-13|u0,sz.002151,B1,2019-04-15,2019-05-16,20,20,True,False,,True,False,2019-05-16,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002164|20190331|a2019-04-13|u0,sz.002164,B1,2019-04-15,2019-05-16,20,20,True,False,,True,False,2019-05-16,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002234|20190331|a2019-04-13|u0,sz.002234,B1,2019-04-15,2019-05-16,20,20,True,False,,True,False,2019-05-16,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002333|20190331|a2019-04-13|u0,sz.002333,B1,2019-04-15,2019-05-17,20,21,True,False,,True,False,2019-05-17,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002381|20190331|a2019-04-13|u0,sz.002381,B1,2019-04-15,2019-05-16,20,20,True,False,,True,False,2019-05-16,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002560|20190331|a2019-04-15|u0,sz.002560,B1,2019-04-16,2019-05-17,20,20,True,False,,True,False,2019-05-17,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002591|20190331|a2019-04-15|u0,sz.002591,B1,2019-04-16,2019-05-17,20,20,True,False,,True,False,2019-05-17,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002757|20190331|a2019-04-15|u0,sz.002757,B1,2019-04-16,2019-05-17,20,20,True,False,,True,False,2019-05-17,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002669|20190331|a2019-04-16|u1,sz.002669,B1,2019-04-17,2019-05-20,20,20,True,False,,True,False,2019-05-20,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002592|20190630|a2019-07-04|u0,sz.002592,B1,2019-07-05,2019-08-02,20,20,True,False,,True,False,2019-08-02,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002182|20190630|a2019-07-09|u0,sz.002182,B1,2019-07-10,2019-08-07,20,20,True,False,,True,False,2019-08-07,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002299|20190630|a2019-07-09|u0,sz.002299,B1,2019-07-10,2019-08-07,20,20,True,False,,True,False,2019-08-07,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000912|20190630|a2019-07-13|u1,sz.000912,B1,2019-07-15,2019-08-12,20,20,True,False,,True,False,2019-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002745|20190630|a2019-07-12|u0,sz.002745,B1,2019-07-15,2019-08-12,20,20,True,False,,True,False,2019-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
