month,rows,mm6_cnt,bps_max
1,29185,16547,336.7734926670296
2,19597,11352,424.5283018867907
3,28985,16314,381.43382352941126
4,23791,13867,217.57463315904891
5,29314,16499,302.0134228187932
6,26894,15222,398.8603988603978
7,30100,16467,276.5957446808498
8,31927,10272,322.8986936159739
9,26689,69,96.52509652509744
10,25556,48,75.98784194528862
11,31472,24,57.636887608070175
12,28694,43,54.34782608695565
