时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz002349,精华制药,40.0,40.0,40.0,40.0,552,2208000,0.0,0.0
2015-07-01 09:31:00,sz002349,精华制药,40.5,39.9,40.5,39.9,772,3098400,-0.25,1.5
2015-07-01 09:32:00,sz002349,精华制药,39.9,40.0,40.0,39.8,602,2402570,0.25,0.5
2015-07-01 09:33:00,sz002349,精华制药,40.4,40.5,40.5,40.4,114,461090,1.25,0.25
2015-07-01 09:34:00,sz002349,精华制药,40.55,40.65,40.65,40.55,528,2145589,0.37,0.25
2015-07-01 09:35:00,sz002349,精华制药,40.55,40.41,40.55,40.41,629,2548746,-0.59,0.34
2015-07-01 09:36:00,sz002349,精华制药,40.54,40.54,40.55,40.54,291,1179881,0.32,0.02
2015-07-01 09:37:00,sz002349,精华制药,40.45,40.41,40.45,40.41,95,384106,-0.32,0.1
2015-07-01 09:38:00,sz002349,精华制药,40.5,40.55,40.55,40.5,380,1539291,0.35,0.12
2015-07-01 09:39:00,sz002349,精华制药,41.21,41.19,41.21,41.19,340,1400990,1.58,0.05
2015-07-01 09:40:00,sz002349,精华制药,41.5,41.44,41.5,41.44,608,2519959,0.61,0.15
2015-07-01 09:41:00,sz002349,精华制药,41.4,41.3,41.4,41.3,413,1708782,-0.34,0.24
2015-07-01 09:42:00,sz002349,精华制药,41.15,41.3,41.3,41.15,110,453909,0.0,0.36
2015-07-01 09:43:00,sz002349,精华制药,41.39,41.3,41.39,41.3,305,1261057,0.0,0.22
2015-07-01 09:44:00,sz002349,精华制药,41.28,41.2,41.28,41.2,322,1327736,-0.24,0.19
2015-07-01 09:45:00,sz002349,精华制药,41.16,41.16,41.16,41.16,278,1144246,-0.1,0.0
2015-07-01 09:46:00,sz002349,精华制药,41.16,41.2,41.2,41.16,111,456987,0.1,0.1
2015-07-01 09:47:00,sz002349,精华制药,41.3,41.35,41.35,41.25,380,1568800,0.36,0.24
2015-07-01 09:48:00,sz002349,精华制药,41.4,41.3,41.4,41.3,510,2107202,-0.12,0.24
2015-07-01 09:49:00,sz002349,精华制药,41.26,41.3,41.3,41.26,98,404360,0.0,0.1
2015-07-01 09:50:00,sz002349,精华制药,41.3,41.34,41.34,41.3,214,883879,0.1,0.1
2015-07-01 09:51:00,sz002349,精华制药,41.41,41.6,41.6,41.41,323,1341394,0.63,0.46
2015-07-01 09:52:00,sz002349,精华制药,41.73,41.95,41.95,41.73,163,682603,0.84,0.53
2015-07-01 09:53:00,sz002349,精华制药,41.98,42.09,42.09,41.98,283,1188903,0.33,0.26
2015-07-01 09:54:00,sz002349,精华制药,42.0,41.84,42.0,41.84,639,2682216,-0.59,0.38
2015-07-01 09:55:00,sz002349,精华制药,41.8,41.76,41.8,41.76,277,1157502,-0.19,0.1
2015-07-01 09:56:00,sz002349,精华制药,41.75,41.85,41.85,41.75,266,1111680,0.22,0.24
2015-07-01 09:57:00,sz002349,精华制药,41.75,41.7,41.75,41.7,349,1456200,-0.36,0.12
2015-07-01 09:58:00,sz002349,精华制药,41.7,41.7,41.7,41.7,518,2160060,0.0,0.0
2015-07-01 09:59:00,sz002349,精华制药,41.65,41.58,41.65,41.0,602,2488136,-0.29,1.56
2015-07-01 10:00:00,sz002349,精华制药,41.14,41.4,41.4,41.14,268,1106160,-0.43,0.63
2015-07-01 10:01:00,sz002349,精华制药,41.48,41.45,41.56,41.45,1042,4323679,0.12,0.27
