时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz000989,九芝堂,29.46,29.46,29.46,29.46,1149,3384954,0.0,0.0
2015-07-01 09:31:00,sz000989,九芝堂,29.2,29.1,29.2,29.1,1581,4607360,-1.22,0.34
2015-07-01 09:32:00,sz000989,九芝堂,29.17,29.06,29.17,29.06,2253,6567902,-0.14,0.38
2015-07-01 09:33:00,sz000989,九芝堂,29.17,29.25,29.25,29.17,861,2517169,0.65,0.28
2015-07-01 09:34:00,sz000989,九芝堂,29.6,29.88,29.88,29.6,736,2186470,2.15,0.96
2015-07-01 09:35:00,sz000989,九芝堂,29.9,29.85,29.9,29.85,1093,3265595,-0.1,0.17
2015-07-01 09:36:00,sz000989,九芝堂,29.78,29.33,29.78,29.33,374,1103177,-1.74,1.51
2015-07-01 09:37:00,sz000989,九芝堂,29.33,29.46,29.46,29.33,833,2448662,0.44,0.44
2015-07-01 09:38:00,sz000989,九芝堂,29.67,29.73,29.73,29.67,531,1575669,0.92,0.2
2015-07-01 09:39:00,sz000989,九芝堂,29.78,29.9,29.9,29.78,183,545849,0.57,0.4
2015-07-01 09:40:00,sz000989,九芝堂,29.98,30.17,30.17,29.98,385,1158268,0.9,0.64
2015-07-01 09:41:00,sz000989,九芝堂,30.2,30.33,30.44,30.2,802,2432806,0.53,0.8
2015-07-01 09:42:00,sz000989,九芝堂,30.45,30.58,30.58,30.45,511,1561273,0.82,0.43
2015-07-01 09:43:00,sz000989,九芝堂,30.57,30.46,30.57,30.46,1583,4828431,-0.39,0.36
2015-07-01 09:44:00,sz000989,九芝堂,30.2,29.9,30.2,29.9,864,2594919,-1.84,0.98
2015-07-01 09:45:00,sz000989,九芝堂,29.9,30.19,30.19,29.9,781,2342535,0.97,0.97
2015-07-01 09:46:00,sz000989,九芝堂,30.19,30.2,30.2,30.19,532,1606269,0.03,0.03
2015-07-01 09:47:00,sz000989,九芝堂,30.2,30.2,30.3,30.2,831,2511050,0.0,0.33
2015-07-01 09:48:00,sz000989,九芝堂,30.18,30.1,30.18,30.1,964,2907070,-0.33,0.26
2015-07-01 09:49:00,sz000989,九芝堂,30.07,30.04,30.07,30.04,634,1904756,-0.2,0.1
2015-07-01 09:50:00,sz000989,九芝堂,30.01,30.05,30.05,30.01,196,588420,0.03,0.13
2015-07-01 09:51:00,sz000989,九芝堂,30.1,30.4,30.4,30.1,437,1321670,1.16,1.0
2015-07-01 09:52:00,sz000989,九芝堂,30.45,30.6,30.6,30.45,696,2127546,0.66,0.49
2015-07-01 09:53:00,sz000989,九芝堂,30.7,30.68,30.7,30.68,534,1638458,0.26,0.07
2015-07-01 09:54:00,sz000989,九芝堂,30.8,30.86,30.96,30.8,901,2783652,0.59,0.52
2015-07-01 09:55:00,sz000989,九芝堂,30.8,30.65,30.8,30.65,995,3059834,-0.68,0.49
