时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz000632,三木集团,11.84,11.84,11.84,11.84,567,671328,0.0,0.0
2015-07-01 09:31:00,sz000632,三木集团,11.7,11.28,11.7,11.28,2457,2780988,-4.73,3.55
2015-07-01 09:32:00,sz000632,三木集团,11.21,11.31,11.31,11.2,2213,2483705,0.27,0.98
2015-07-01 09:33:00,sz000632,三木集团,11.69,11.68,11.69,11.68,426,497721,3.27,0.09
2015-07-01 09:34:00,sz000632,三木集团,11.69,11.68,11.69,11.68,2005,2342397,0.0,0.09
2015-07-01 09:35:00,sz000632,三木集团,11.68,11.68,11.68,11.68,1276,1490367,0.0,0.0
2015-07-01 09:36:00,sz000632,三木集团,11.7,11.7,11.7,11.7,1305,1526850,0.17,0.0
2015-07-01 09:37:00,sz000632,三木集团,11.61,11.62,11.62,11.61,2615,3036255,-0.68,0.09
2015-07-01 09:38:00,sz000632,三木集团,11.55,11.41,11.55,11.41,2856,3277905,-1.81,1.2
2015-07-01 09:39:00,sz000632,三木集团,11.5,11.54,11.54,11.5,1856,2135491,1.14,0.35
2015-07-01 09:40:00,sz000632,三木集团,11.6,11.74,11.74,11.6,1693,1972163,1.73,1.21
2015-07-01 09:41:00,sz000632,三木集团,11.72,11.79,11.79,11.72,2266,2667127,0.43,0.6
2015-07-01 09:42:00,sz000632,三木集团,11.75,11.73,11.75,11.73,936,1099106,-0.51,0.17
2015-07-01 09:43:00,sz000632,三木集团,11.72,11.72,11.72,11.7,2169,2540111,-0.09,0.17
2015-07-01 09:44:00,sz000632,三木集团,11.66,11.62,11.66,11.62,1314,1528918,-0.85,0.34
2015-07-01 09:45:00,sz000632,三木集团,11.56,11.63,11.63,11.56,1876,2170553,0.09,0.6
2015-07-01 09:46:00,sz000632,三木集团,11.66,11.7,11.7,11.66,357,417093,0.6,0.34
2015-07-01 09:47:00,sz000632,三木集团,11.72,11.68,11.72,11.68,888,1039696,-0.17,0.34
2015-07-01 09:48:00,sz000632,三木集团,11.68,11.71,11.71,11.65,639,746124,0.26,0.51
2015-07-01 09:49:00,sz000632,三木集团,11.65,11.64,11.66,11.64,470,547626,-0.6,0.17
2015-07-01 09:50:00,sz000632,三木集团,11.63,11.63,11.63,11.63,995,1157185,-0.09,0.0
2015-07-01 09:51:00,sz000632,三木集团,11.65,11.66,11.66,11.65,1790,2086607,0.26,0.09
2015-07-01 09:52:00,sz000632,三木集团,11.7,11.76,11.76,11.7,2180,2557297,0.86,0.51
2015-07-01 09:53:00,sz000632,三木集团,11.81,11.85,11.85,11.81,1050,1240830,0.77,0.34
2015-07-01 09:54:00,sz000632,三木集团,11.88,11.99,12.0,11.88,1687,2022649,1.18,1.01
2015-07-01 09:55:00,sz000632,三木集团,12.05,11.98,12.05,11.98,2186,2625729,-0.08,0.58
2015-07-01 09:56:00,sz000632,三木集团,11.95,11.87,11.95,11.87,1094,1301339,-0.92,0.67
2015-07-01 09:57:00,sz000632,三木集团,11.85,11.83,11.85,11.82,1475,1745224,-0.34,0.25
2015-07-01 09:58:00,sz000632,三木集团,11.8,11.79,11.8,11.79,2007,2368244,-0.34,0.08
2015-07-01 09:59:00,sz000632,三木集团,11.78,11.78,11.78,11.77,908,1069081,-0.08,0.08
2015-07-01 10:00:00,sz000632,三木集团,11.77,11.82,11.82,11.77,1274,1504422,0.34,0.42
2015-07-01 10:01:00,sz000632,三木集团,11.85,11.88,11.88,11.85,1142,1354620,0.51,0.25
2015-07-01 10:02:00,sz000632,三木集团,11.87,11.89,11.89,11.85,635,753708,0.08,0.34
2015-07-01 10:03:00,sz000632,三木集团,11.89,11.9,11.9,11.89,629,748371,0.08,0.08
2015-07-01 10:04:00,sz000632,三木集团,11.87,11.78,11.87,11.78,1123,1326152,-1.01,0.76
