时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz300322,硕贝德,14.5,14.5,14.5,14.5,2504,3630800,0.0,0.0
2015-07-01 09:31:00,sz300322,硕贝德,14.48,14.3,14.48,14.3,3769,5423226,-1.38,1.24
2015-07-01 09:32:00,sz300322,硕贝德,14.42,14.58,14.58,14.42,3155,4566194,1.96,1.12
2015-07-01 09:33:00,sz300322,硕贝德,14.61,14.76,14.76,14.61,2397,3521036,1.23,1.03
2015-07-01 09:34:00,sz300322,硕贝德,14.83,14.89,14.89,14.83,3336,4956110,0.88,0.41
2015-07-01 09:35:00,sz300322,硕贝德,14.89,14.85,14.89,14.85,5770,8580870,-0.27,0.27
2015-07-01 09:36:00,sz300322,硕贝德,14.78,14.79,14.79,14.77,3291,4863792,-0.4,0.13
2015-07-01 09:37:00,sz300322,硕贝德,14.78,14.78,14.78,14.78,2221,3282638,-0.07,0.0
2015-07-01 09:38:00,sz300322,硕贝德,14.79,14.8,14.84,14.79,4279,6334689,0.14,0.34
2015-07-01 09:39:00,sz300322,硕贝德,14.93,14.9,14.93,14.9,2787,4157436,0.68,0.2
2015-07-01 09:40:00,sz300322,硕贝德,14.97,15.1,15.1,14.97,2637,3962764,1.34,0.87
2015-07-01 09:41:00,sz300322,硕贝德,15.2,15.28,15.28,15.2,3458,5279830,1.19,0.53
2015-07-01 09:42:00,sz300322,硕贝德,15.19,15.1,15.19,15.1,4244,6439877,-1.18,0.59
2015-07-01 09:43:00,sz300322,硕贝德,15.1,15.19,15.2,15.1,2695,4085381,0.6,0.66
2015-07-01 09:44:00,sz300322,硕贝德,15.14,15.14,15.15,15.14,3763,5698613,-0.33,0.07
2015-07-01 09:45:00,sz300322,硕贝德,15.13,15.0,15.13,15.0,4211,6346827,-0.92,0.86
2015-07-01 09:46:00,sz300322,硕贝德,14.97,15.0,15.0,14.97,1719,2577552,0.0,0.2
2015-07-01 09:47:00,sz300322,硕贝德,15.01,15.03,15.03,14.99,1519,2279806,0.2,0.27
2015-07-01 09:48:00,sz300322,硕贝德,15.1,15.09,15.1,15.09,1469,2217109,0.4,0.07
2015-07-01 09:49:00,sz300322,硕贝德,15.0,15.03,15.03,15.0,2383,3577565,-0.4,0.2
2015-07-01 09:50:00,sz300322,硕贝德,15.04,15.04,15.04,15.04,1297,1950687,0.07,0.0
2015-07-01 09:51:00,sz300322,硕贝德,15.1,15.3,15.3,15.1,1784,2711375,1.73,1.33
2015-07-01 09:52:00,sz300322,硕贝德,15.35,15.32,15.35,15.32,4014,6155394,0.13,0.2
2015-07-01 09:53:00,sz300322,硕贝德,15.29,15.31,15.31,15.29,1293,1977664,-0.07,0.13
2015-07-01 09:54:00,sz300322,硕贝德,15.3,15.2,15.3,15.2,3705,5649730,-0.72,0.65
2015-07-01 09:55:00,sz300322,硕贝德,15.2,15.25,15.25,15.2,999,1521575,0.33,0.33
2015-07-01 09:56:00,sz300322,硕贝德,15.25,15.23,15.25,15.23,3456,5266195,-0.13,0.13
2015-07-01 09:57:00,sz300322,硕贝德,15.16,15.15,15.16,15.15,1202,1821391,-0.53,0.07
2015-07-01 09:58:00,sz300322,硕贝德,15.09,15.1,15.1,15.08,849,1280997,-0.33,0.13
2015-07-01 09:59:00,sz300322,硕贝德,15.08,15.04,15.08,15.04,1429,2151099,-0.4,0.26
2015-07-01 10:00:00,sz300322,硕贝德,15.05,15.11,15.11,15.05,687,1036544,0.47,0.4
2015-07-01 10:01:00,sz300322,硕贝德,15.13,15.1,15.2,15.1,1296,1959356,-0.07,0.66
2015-07-01 10:02:00,sz300322,硕贝德,15.1,15.15,15.15,15.1,1836,2772690,0.33,0.33
2015-07-01 10:03:00,sz300322,硕贝德,15.11,15.1,15.12,15.1,928,1401712,-0.33,0.13
2015-07-01 10:04:00,sz300322,硕贝德,15.1,15.03,15.1,15.03,1282,1930732,-0.46,0.46
2015-07-01 10:05:00,sz300322,硕贝德,15.04,14.98,15.04,14.98,1851,2779382,-0.33,0.4
2015-07-01 10:06:00,sz300322,硕贝德,14.98,15.0,15.0,14.98,754,1129562,0.13,0.13
2015-07-01 10:07:00,sz300322,硕贝德,15.0,15.14,15.14,15.0,366,550511,0.93,0.93
2015-07-01 10:08:00,sz300322,硕贝德,15.14,15.2,15.2,15.09,1632,2474016,0.4,0.73
2015-07-01 10:09:00,sz300322,硕贝德,15.23,15.2,15.24,15.2,1265,1925432,0.0,0.26
2015-07-01 10:10:00,sz300322,硕贝德,15.09,15.08,15.09,15.08,719,1084506,-0.79,0.07
2015-07-01 10:11:00,sz300322,硕贝德,15.05,15.07,15.07,15.05,1290,1943430,-0.07,0.13
2015-07-01 10:12:00,sz300322,硕贝德,15.06,15.1,15.1,15.06,395,595639,0.2,0.27
2015-07-01 10:13:00,sz300322,硕贝德,15.01,14.98,15.01,14.98,1096,1642428,-0.79,0.2
