时间,代码,名称,开盘价,收盘价,最高价,最低价,成交量,成交额,涨幅,振幅
2015-07-01 09:30:00,sz000802,北京文化,29.9,29.9,29.9,29.9,1658,4957420,0.0,0.0
2015-07-01 09:31:00,sz000802,北京文化,29.9,29.98,29.98,29.9,5716,17121008,0.27,0.27
2015-07-01 09:32:00,sz000802,北京文化,31.2,31.69,31.69,31.2,6497,20353064,5.7,1.63
2015-07-01 09:33:00,sz000802,北京文化,31.69,31.5,31.69,31.5,2932,9268176,-0.6,0.6
2015-07-01 09:34:00,sz000802,北京文化,31.17,31.01,31.17,31.01,3308,10284551,-1.56,0.51
2015-07-01 09:35:00,sz000802,北京文化,31.0,30.95,31.0,30.95,8037,24890175,-0.19,0.16
2015-07-01 09:36:00,sz000802,北京文化,31.06,31.4,31.4,31.06,3840,12047127,1.45,1.1
2015-07-01 09:37:00,sz000802,北京文化,31.5,31.5,31.5,31.5,3539,11147850,0.32,0.0
2015-07-01 09:38:00,sz000802,北京文化,31.64,31.8,31.8,31.51,4270,13475856,0.95,0.92
2015-07-01 09:39:00,sz000802,北京文化,32.0,32.02,32.02,32.0,10643,34071448,0.69,0.06
2015-07-01 09:40:00,sz000802,北京文化,32.0,32.0,32.0,32.0,2963,9481600,-0.06,0.0
2015-07-01 09:41:00,sz000802,北京文化,31.9,31.7,31.9,31.7,666,2115720,-0.94,0.62
2015-07-01 09:42:00,sz000802,北京文化,31.8,31.96,31.96,31.8,1331,4250420,0.82,0.5
2015-07-01 09:43:00,sz000802,北京文化,32.0,32.02,32.02,32.0,5603,17936402,0.19,0.06
2015-07-01 09:44:00,sz000802,北京文化,32.02,32.02,32.02,32.02,1719,5504238,0.0,0.0
2015-07-01 09:45:00,sz000802,北京文化,32.02,32.0,32.02,32.0,2302,7368456,-0.06,0.06
2015-07-01 09:46:00,sz000802,北京文化,32.0,32.02,32.02,32.0,2802,8969944,0.06,0.06
2015-07-01 09:47:00,sz000802,北京文化,32.02,32.02,32.02,32.02,1290,4130580,0.0,0.0
2015-07-01 09:48:00,sz000802,北京文化,32.02,32.02,32.02,32.02,604,1934008,0.0,0.0
2015-07-01 09:49:00,sz000802,北京文化,32.02,32.02,32.02,32.02,345,1104690,0.0,0.0
2015-07-01 09:50:00,sz000802,北京文化,32.02,32.02,32.02,32.02,67,214534,0.0,0.0
2015-07-01 09:51:00,sz000802,北京文化,32.02,32.02,32.02,32.02,79,252958,0.0,0.0
2015-07-01 09:52:00,sz000802,北京文化,32.02,32.02,32.02,32.02,69,220938,0.0,0.0
2015-07-01 09:53:00,sz000802,北京文化,32.02,32.02,32.02,32.02,116,371432,0.0,0.0
2015-07-01 09:54:00,sz000802,北京文化,32.02,32.02,32.02,32.02,1579,5055958,0.0,0.0
2015-07-01 09:55:00,sz000802,北京文化,32.02,32.02,32.02,32.02,3,9606,0.0,0.0
2015-07-01 09:56:00,sz000802,北京文化,32.02,32.02,32.02,32.02,196,627592,0.0,0.0
2015-07-01 09:57:00,sz000802,北京文化,32.02,32.02,32.02,32.02,100,320200,0.0,0.0
2015-07-01 09:58:00,sz000802,北京文化,32.02,32.02,32.02,32.02,9,28818,0.0,0.0
2015-07-01 09:59:00,sz000802,北京文化,32.02,32.02,32.02,32.02,87,278574,0.0,0.0
2015-07-01 10:00:00,sz000802,北京文化,32.02,32.02,32.02,32.02,48,153696,0.0,0.0
2015-07-01 10:01:00,sz000802,北京文化,32.02,32.02,32.02,32.02,64,204928,0.0,0.0
2015-07-01 10:02:00,sz000802,北京文化,32.02,32.02,32.02,32.02,74,236948,0.0,0.0
2015-07-01 10:03:00,sz000802,北京文化,32.02,32.02,32.02,32.02,20,64040,0.0,0.0
2015-07-01 10:04:00,sz000802,北京文化,32.02,32.02,32.02,32.02,7,22414,0.0,0.0
2015-07-01 10:05:00,sz000802,北京文化,32.02,32.02,32.02,32.02,6,19212,0.0,0.0
2015-07-01 10:06:00,sz000802,北京文化,32.02,32.02,32.02,32.02,63,201726,0.0,0.0
2015-07-01 10:07:00,sz000802,北京文化,32.02,32.02,32.02,32.02,403,1290406,0.0,0.0
2015-07-01 10:08:00,sz000802,北京文化,32.02,32.02,32.02,32.02,10,32020,0.0,0.0
2015-07-01 10:09:00,sz000802,北京文化,32.02,32.02,32.02,32.02,14,44828,0.0,0.0
2015-07-01 10:10:00,sz000802,北京文化,32.02,32.02,32.02,32.02,91,291382,0.0,0.0
2015-07-01 10:11:00,sz000802,北京文化,32.02,32.02,32.02,32.02,50,160100,0.0,0.0
2015-07-01 10:12:00,sz000802,北京文化,32.02,32.02,32.02,32.02,32,102464,0.0,0.0
2015-07-01 10:13:00,sz000802,北京文化,32.02,32.02,32.02,32.02,58,185716,0.0,0.0
2015-07-01 10:14:00,sz000802,北京文化,32.02,32.02,32.02,32.02,348,1114296,0.0,0.0
2015-07-01 10:15:00,sz000802,北京文化,32.02,32.02,32.02,32.02,79,252958,0.0,0.0
