symbol,date,div_per_share
sh.510050,2016-11-29,0.052999999999999936
sh.510050,2017-11-28,0.05400000000000027
sh.510050,2018-12-03,0.04900000000000038
sh.510050,2019-12-02,0.04700000000000015
sh.510050,2020-11-30,0.051000000000000156
sh.510300,2015-01-20,0.0349999999999997
sh.510300,2016-01-20,0.051000000000000156
sh.510300,2017-01-23,0.05500000000000016
sh.510300,2018-01-23,0.045999999999999375
sh.510300,2019-01-16,0.05900000000000016
sh.510300,2019-12-11,0.06199999999999983
sh.510880,2015-01-20,0.08000000000000007
sh.510880,2016-01-20,0.04999999999999982
sh.510880,2017-01-23,0.09100000000000019
sh.510880,2018-01-23,0.10899999999999999
sh.510880,2019-01-16,0.09799999999999986
sh.510880,2020-01-17,0.14400000000000013
sh.511010,2015-10-09,1.0
