t,top4,pool,excess
2016-01-29,0.06910580352563728,-0.018201275380401626,0.0873070789060389
2016-02-29,0.32937542284303534,0.18539351574314628,0.14398190709988906
2016-03-31,-0.020667965623590995,-0.02109035257490551,0.00042238695131451356
2016-04-29,-0.020339516253093826,-0.048060634732013004,0.027721118478919178
2016-05-31,0.06658287337936558,0.018277703059748955,0.048305170319616626
2016-06-30,0.13944477015697834,-0.008760163203023233,0.14820493336000157
2016-07-29,0.016185717490655754,0.04636776779071765,-0.030182050300061894
2016-08-31,-0.03264253468812847,-0.015567627783129857,-0.017074906904998615
2016-09-30,-0.007281282888960627,0.029230454357636836,-0.03651173724659747
2016-10-31,0.18526232352734515,0.026580353667981473,0.15868196985936367
2016-11-30,-0.07928114755341842,-0.040660545144739116,-0.0386206024086793
2016-12-30,-0.060471507583947454,-0.014700235460647009,-0.04577127212330044
2017-01-26,0.020240486358304055,0.04288301209434263,-0.022642525736038574
2017-02-28,0.027519060424500447,-0.01933027789441666,0.046849338318917105
2017-03-31,-0.1025804845696725,-0.05622201061806322,-0.04635847395160928
2017-04-28,-0.21063893908133205,-0.07941875562708797,-0.13122018345424408
2017-05-31,0.0847180207031995,0.034130786463087676,0.05058723424011183
2017-06-30,-0.048585906011804236,0.018621592356748075,-0.0672074983685523
2017-07-31,0.207106435226522,0.024936386842634942,0.18217004838388706
2017-08-31,-0.003375708354374257,0.011951280832325687,-0.015326989186699945
2017-09-29,-0.06891346507580137,-0.017252583301474056,-0.051660881774327316
2017-10-31,-0.02628588289509881,-0.04758201056854574,0.021296127673446928
2017-11-30,0.02291494476931613,-0.004363114191362379,0.02727805896067851
2017-12-29,-0.02718322778671045,-0.00838922134770135,-0.018794006439009102
2018-01-31,0.0795182520238828,-0.03685779354981349,0.1163760455736963
2018-02-28,0.07542855460840614,0.011852758453455146,0.06357579615495099
2018-03-30,-0.034998719473587375,-0.04902891075801069,0.014030191284423316
2018-04-27,-0.05315631988559513,-0.015911490334286058,-0.037244829551309075
2018-05-31,-0.07198795094984861,-0.1091585886268688,0.03717063767702018
2018-06-29,0.037105925239746956,-0.011213777440148285,0.04831970267989524
2018-07-31,-0.08368866922474053,-0.08425019842645928,0.0005615292017187579
2018-08-31,0.08249841716700554,0.010652141707477419,0.07184627545952812
2018-09-28,-0.15771317395491904,-0.10810798740271695,-0.0496051865522021
2018-10-31,0.09841532240270695,0.03231075234936472,0.06610457005334222
2018-11-30,0.020741549259202546,-0.045922589340035416,0.06666413859923796
2018-12-28,-0.0056810026682476145,-0.006147942510661405,0.0004669398424137902
2019-01-31,0.4643124687054637,0.23656893943390525,0.22774352927155847
2019-02-28,0.0037133566003855756,0.09445620085740694,-0.09074284425702137
2019-03-29,-0.12614483874402518,-0.03534722256103326,-0.09079761618299192
2019-04-30,0.01153510230801802,-0.05815395412172046,0.06968905642973848
2019-05-31,-0.01776208920367231,-0.005971207566148668,-0.011790881637523641
2019-06-28,0.023679413633419688,-0.019189293775971495,0.04286870740939118
2019-07-31,-0.03157212835009343,-0.0032889052885124123,-0.028283223061581018
2019-08-30,0.06209427219487021,0.010300685275931002,0.051793586918939205
2019-09-30,-0.003098789584850603,0.0013257503256899564,-0.0044245399105405595
2019-10-31,0.01635757651793776,-0.013801111086683806,0.030158687604621565
2019-11-29,0.10851674116098547,0.09212846131948685,0.016388279841498626
2019-12-31,0.06344878657193187,0.0023489573646755905,0.061099829207256276
2020-01-23,0.030328429077365576,0.008292580369026482,0.022035848708339092
2020-02-28,-0.07352956464757696,-0.05048411271911249,-0.023045451928464467
2020-03-31,0.1615567454496209,0.04201929417581456,0.11953745127380633
2020-04-30,-0.08692147177324694,0.01249487141355493,-0.09941634318680187
2020-05-29,0.1702717866891475,0.06632791480879675,0.10394387188035074
2020-06-30,0.08327610139607916,0.1360193393908534,-0.052743237994774234
2020-07-31,-0.09567271496484894,0.02355839609266494,-0.11923111105751388
2020-08-31,-0.08508226382831069,-0.07770132094262432,-0.007380942885686373
2020-09-30,0.026398545601488244,-0.006318560238269668,0.03271710583975791
2020-10-30,0.03384497562013264,0.047240112512130984,-0.013395136891998345
2020-11-30,0.007803541161824107,0.01300548226396269,-0.005201941102138584
