t,rank_ic
2016-01-29,0.01880638140133326
2016-02-29,0.25441461719758224
2016-03-31,-0.014612532494272567
2016-04-29,-0.03530100331613387
2016-05-31,0.10191938626712763
2016-06-30,-0.08743287486764831
2016-07-29,0.07569428558973212
2016-08-31,0.08158146656742662
2016-09-30,0.012845530274404212
2016-10-31,0.03787583389440659
2016-11-30,0.09625477736686257
2016-12-30,-0.0376722674810994
2017-01-26,0.04127790638970284
2017-02-28,0.05890941653708727
2017-03-31,-0.07277639666072026
2017-04-28,-0.07220574003282576
2017-05-31,0.14574736223247994
2017-06-30,0.039337685041819996
2017-07-31,0.0987974182101156
2017-08-31,0.058957799778087794
2017-09-29,0.004784166101680758
2017-10-31,-0.006210158181034025
2017-11-30,0.07502640882800433
2017-12-29,-0.011972062200765264
2018-01-31,0.16328210136932886
2018-02-28,0.18238848323355367
2018-03-30,-0.0068892740393168474
2018-04-27,0.05940061518484605
2018-05-31,0.027860248387137927
2018-06-29,-0.017647490363289723
2018-07-31,-0.007240859371757393
2018-08-31,0.014130801923543044
2018-09-28,-0.14146969795456582
2018-10-31,0.15578341186427772
2018-11-30,0.0027542205836006747
2018-12-28,-0.019232190128897066
2019-01-31,0.24038939620450314
2019-02-28,0.07292673124156689
2019-03-29,-0.04043211124258243
2019-04-30,0.049920457757516155
2019-05-31,0.004417061700058951
2019-06-28,0.04961011530770403
2019-07-31,0.03347109391263589
2019-08-30,0.05026193743025597
2019-09-30,0.034266622142235734
2019-10-31,-0.004350022552352652
2019-11-29,-0.09743439344282884
2019-12-31,0.048111392445499314
2020-01-23,-0.01006461817350132
2020-02-28,-0.028540460285431144
2020-03-31,0.17305240449802292
2020-04-30,0.0378610888597965
2020-05-29,0.13894515722865372
2020-06-30,0.015834692230744008
2020-07-31,0.06220604216629089
2020-08-31,0.03138508311561006
2020-09-30,-0.024366693457635823
2020-10-30,-0.03391142198493324
2020-11-30,0.04767023366111543
