day,sess,symbol,reason,source
2016-02-29,pm,sh.600493,seat_exit,2016-02-29
2016-02-29,pm,sz.000019,seat_exit,2016-02-29
2016-02-29,pm,sz.002435,seat_exit,2016-02-29
2016-02-29,pm,sz.002702,seat_exit,2016-02-29
2016-03-31,pm,sh.600614,seat_exit,2016-03-31
2016-03-31,pm,sz.000982,seat_exit,2016-03-31
2016-03-31,pm,sz.002409,seat_exit,2016-03-31
2016-03-31,pm,sz.002528,seat_exit,2016-03-31
2016-04-29,pm,sh.600734,seat_exit,2016-04-29
2016-04-29,pm,sh.603300,seat_exit,2016-04-29
2016-04-29,pm,sh.603636,seat_exit,2016-04-29
2016-04-29,pm,sz.002031,seat_exit,2016-04-29
2016-05-18,pm,sh.600666,account_trim,2016-04-29
2016-05-18,pm,sh.600967,account_trim,2016-04-29
2016-05-18,pm,sz.000821,account_trim,2016-04-29
2016-05-18,pm,sz.002123,account_trim,2016-04-29
2016-05-31,pm,sh.600666,seat_exit,2016-05-31
2016-05-31,pm,sh.600734,seat_exit,2016-05-31
2016-05-31,pm,sh.600967,seat_exit,2016-05-31
2016-05-31,pm,sz.000821,seat_exit,2016-05-31
2016-05-31,pm,sz.002123,seat_exit,2016-05-31
2016-06-30,pm,sh.600734,seat_exit,2016-06-30
2016-06-30,pm,sz.002102,seat_exit,2016-06-30
2016-06-30,pm,sz.002211,seat_exit,2016-06-30
2016-06-30,pm,sz.002619,seat_exit,2016-06-30
2016-06-30,pm,sz.002689,seat_exit,2016-06-30
2016-07-14,am,sh.600120,account_trim,2016-06-30
2016-07-15,pm,sz.002222,account_trim,2016-06-30
2016-07-18,am,sh.600120,account_trim,2016-06-30
2016-07-29,pm,sh.600120,seat_exit,2016-07-29
2016-07-29,pm,sh.600734,seat_exit,2016-07-29
2016-07-29,pm,sz.002222,seat_exit,2016-07-29
2016-07-29,pm,sz.002273,seat_exit,2016-07-29
2016-07-29,pm,sz.002428,seat_exit,2016-07-29
2016-08-31,pm,sh.600751,seat_exit,2016-08-31
2016-08-31,pm,sz.000609,seat_exit,2016-08-31
2016-08-31,pm,sz.002590,seat_exit,2016-08-31
2016-08-31,pm,sz.002616,seat_exit,2016-08-31
2016-09-30,pm,sh.600070,seat_exit,2016-09-30
2016-09-30,pm,sh.600619,seat_exit,2016-09-30
2016-09-30,pm,sz.002547,seat_exit,2016-09-30
2016-09-30,pm,sz.002766,seat_exit,2016-09-30
2016-10-31,pm,sh.600173,seat_exit,2016-10-31
2016-10-31,pm,sh.600499,seat_exit,2016-10-31
2016-10-31,pm,sz.002266,seat_exit,2016-10-31
2016-10-31,pm,sz.002631,seat_exit,2016-10-31
2016-11-09,am,sz.002486,account_trim,2016-10-31
2016-11-09,pm,sz.002486,account_trim,2016-10-31
2016-11-30,pm,sh.600666,seat_exit,2016-11-30
2016-11-30,pm,sz.002087,seat_exit,2016-11-30
2016-11-30,pm,sz.002486,seat_exit,2016-11-30
2016-11-30,pm,sz.002675,seat_exit,2016-11-30
2016-12-12,am,sh.600679,account_trim,2016-11-30
2016-12-12,pm,sh.600679,account_trim,2016-11-30
2016-12-16,am,sh.600679,account_trim,2016-11-30
2016-12-16,pm,sh.600679,account_trim,2016-11-30
2016-12-30,pm,sh.600679,seat_exit,2016-12-30
2016-12-30,pm,sz.000409,seat_exit,2016-12-30
2016-12-30,pm,sz.000935,seat_exit,2016-12-30
2016-12-30,pm,sz.002760,seat_exit,2016-12-30
2017-01-26,pm,sz.000538,seat_exit,2017-01-26
2017-01-26,pm,sz.002259,seat_exit,2017-01-26
2017-01-26,pm,sz.002787,seat_exit,2017-01-26
2017-02-28,pm,sh.600215,seat_exit,2017-02-28
2017-02-28,pm,sz.000953,seat_exit,2017-02-28
2017-02-28,pm,sz.002265,seat_exit,2017-02-28
2017-02-28,pm,sz.002462,seat_exit,2017-02-28
2017-03-31,pm,sh.603300,seat_exit,2017-03-31
2017-03-31,pm,sz.000819,seat_exit,2017-03-31
2017-03-31,pm,sz.002651,seat_exit,2017-03-31
2017-03-31,pm,sz.002748,seat_exit,2017-03-31
2017-04-28,pm,sh.600698,seat_exit,2017-04-28
2017-04-28,pm,sz.000612,seat_exit,2017-04-28
2017-04-28,pm,sz.000711,seat_exit,2017-04-28
2017-04-28,pm,sz.002277,seat_exit,2017-04-28
2017-05-31,pm,sh.600614,seat_exit,2017-05-31
2017-05-31,pm,sh.603355,seat_exit,2017-05-31
2017-05-31,pm,sh.603859,seat_exit,2017-05-31
2017-05-31,pm,sz.002735,seat_exit,2017-05-31
2017-06-30,pm,sz.000723,seat_exit,2017-06-30
2017-06-30,pm,sz.002415,seat_exit,2017-06-30
2017-06-30,pm,sz.002508,seat_exit,2017-06-30
2017-07-31,pm,sh.600143,seat_exit,2017-07-31
2017-07-31,pm,sh.601211,seat_exit,2017-07-31
2017-07-31,pm,sh.601229,seat_exit,2017-07-31
2017-07-31,pm,sz.000611,seat_exit,2017-07-31
2017-08-14,am,sz.002542,account_trim,2017-07-31
2017-08-31,pm,sz.000007,seat_exit,2017-08-31
2017-08-31,pm,sz.002542,seat_exit,2017-08-31
2017-08-31,pm,sz.002572,seat_exit,2017-08-31
2017-09-29,pm,sh.600615,seat_exit,2017-09-29
2017-09-29,pm,sh.600764,seat_exit,2017-09-29
2017-09-29,pm,sh.603010,seat_exit,2017-09-29
2017-09-29,pm,sz.002379,seat_exit,2017-09-29
2017-10-31,pm,sh.600348,seat_exit,2017-10-31
2017-10-31,pm,sz.002032,seat_exit,2017-10-31
2017-10-31,pm,sz.002252,seat_exit,2017-10-31
2017-10-31,pm,sz.002509,seat_exit,2017-10-31
2017-11-30,pm,sh.600804,seat_exit,2017-11-30
2017-11-30,pm,sh.603843,seat_exit,2017-11-30
2017-11-30,pm,sz.000989,seat_exit,2017-11-30
2017-11-30,pm,sz.002310,seat_exit,2017-11-30
2017-12-06,pm,sz.002129,account_trim,2017-11-30
2017-12-13,am,sz.002129,account_trim,2017-11-30
2017-12-29,pm,sh.600673,seat_exit,2017-12-29
2017-12-29,pm,sh.600837,seat_exit,2017-12-29
2017-12-29,pm,sz.002129,seat_exit,2017-12-29
2017-12-29,pm,sz.002656,seat_exit,2017-12-29
2018-01-08,am,sh.600383,account_trim,2017-12-29
2018-01-31,pm,sh.600383,seat_exit,2018-01-31
2018-01-31,pm,sh.601318,seat_exit,2018-01-31
2018-01-31,pm,sz.000893,seat_exit,2018-01-31
2018-01-31,pm,sz.002812,seat_exit,2018-01-31
2018-02-28,pm,sh.603938,seat_exit,2018-02-28
2018-02-28,pm,sz.002493,seat_exit,2018-02-28
2018-02-28,pm,sz.002570,seat_exit,2018-02-28
2018-02-28,pm,sz.002845,seat_exit,2018-02-28
2018-03-30,pm,sh.600242,seat_exit,2018-03-30
2018-03-30,pm,sh.601012,seat_exit,2018-03-30
2018-03-30,pm,sz.000651,seat_exit,2018-03-30
2018-03-30,pm,sz.000858,seat_exit,2018-03-30
2018-04-27,pm,sh.600130,seat_exit,2018-04-27
2018-04-27,pm,sh.600460,seat_exit,2018-04-27
2018-04-27,pm,sh.600673,seat_exit,2018-04-27
2018-04-27,pm,sh.601689,seat_exit,2018-04-27
2018-05-07,am,sh.600211,account_trim,2018-04-27
2018-05-31,pm,sh.600211,seat_exit,2018-05-31
2018-05-31,pm,sz.000333,seat_exit,2018-05-31
2018-05-31,pm,sz.000725,seat_exit,2018-05-31
2018-05-31,pm,sz.002358,seat_exit,2018-05-31
2018-06-29,pm,sh.600419,seat_exit,2018-06-29
2018-06-29,pm,sh.603466,seat_exit,2018-06-29
2018-06-29,pm,sh.603605,seat_exit,2018-06-29
2018-06-29,pm,sz.002437,seat_exit,2018-06-29
2018-07-23,am,sz.002413,account_trim,2018-06-29
2018-07-23,pm,sz.002413,account_trim,2018-06-29
2018-07-31,pm,sh.600196,seat_exit,2018-07-31
2018-07-31,pm,sh.603233,seat_exit,2018-07-31
2018-07-31,pm,sz.002268,seat_exit,2018-07-31
2018-07-31,pm,sz.002413,seat_exit,2018-07-31
2018-07-31,pm,sz.002437,seat_exit,2018-07-31
2018-08-31,pm,sh.600633,seat_exit,2018-08-31
2018-08-31,pm,sz.000046,seat_exit,2018-08-31
2018-08-31,pm,sz.000681,seat_exit,2018-08-31
2018-08-31,pm,sz.002597,seat_exit,2018-08-31
2018-09-04,am,sz.002451,account_trim,2018-08-31
2018-09-05,am,sz.002584,account_trim,2018-08-31
2018-09-28,pm,sh.603515,seat_exit,2018-09-28
2018-09-28,pm,sh.603722,seat_exit,2018-09-28
2018-09-28,pm,sz.002451,seat_exit,2018-09-28
2018-09-28,pm,sz.002584,seat_exit,2018-09-28
2018-10-31,pm,sh.600500,seat_exit,2018-10-31
2018-10-31,pm,sh.603345,seat_exit,2018-10-31
2018-10-31,pm,sz.000963,seat_exit,2018-10-31
2018-10-31,pm,sz.002903,seat_exit,2018-10-31
