bucket,n,shares,notional
clear/limit,45,67200,1111746.0
seat_exit/limit,35,85900,771483.0
stop/limit,9,10900,127814.0
account_trim/limit,16,12100,105177.0
take_half/limit,3,3500,26288.0
protection/limit,2,4600,28103.0
OLD-ONLY/limit/limit,69,126900,1206723.0
