factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B04,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D16,D17,D18,D19,D20,D30,E16,F06,F09,F10
B14,-0.128,-0.206,-0.093,-0.075,-0.098,-0.578,-0.125,0.561,0.088,-0.036,-0.101,-0.102,-0.147,0.128,0.1,-0.055,-0.036,-0.019,-0.104,1.0,-0.129,-0.128,-0.128,-0.146,0.072,-0.039,-0.069,-0.284,0.055,-0.196,-0.099,-0.059,-0.207,-0.031,-0.1,-0.016,-0.198,-0.052,0.137,-0.188,-0.101,-0.239
B15,0.983,0.477,0.808,0.427,0.614,0.132,0.501,-0.058,0.173,0.637,0.411,0.767,0.712,-0.264,-0.039,0.092,-0.017,0.128,0.392,-0.129,1.0,0.838,0.957,0.955,0.449,0.037,0.044,0.074,0.037,0.077,0.077,0.04,0.025,0.021,0.042,0.024,0.062,0.044,-0.043,0.136,0.803,0.038
C01,0.85,0.419,0.704,0.378,0.542,0.175,0.431,-0.071,0.172,0.582,0.354,0.667,0.619,-0.233,-0.06,0.155,0.064,0.176,0.344,-0.128,0.838,1.0,0.829,0.834,0.217,0.022,0.026,0.053,0.031,0.063,0.065,0.035,-0.001,0.025,0.025,0.024,0.059,0.026,-0.057,0.123,0.655,0.104
C11,0.973,0.47,0.805,0.413,0.603,0.137,0.495,-0.057,0.168,0.626,0.407,0.748,0.696,-0.262,-0.028,0.096,-0.015,0.134,0.391,-0.128,0.957,0.829,1.0,0.927,0.447,0.036,0.044,0.076,0.042,0.072,0.073,0.042,0.03,0.023,0.047,0.021,0.054,0.046,-0.028,0.147,0.8,0.047
C12,0.97,0.483,0.802,0.413,0.601,0.159,0.506,-0.066,0.183,0.632,0.418,0.745,0.703,-0.273,-0.055,0.135,0.023,0.169,0.407,-0.146,0.955,0.834,0.927,1.0,0.437,0.033,0.04,0.075,0.04,0.076,0.074,0.038,0.016,0.034,0.037,0.025,0.065,0.038,-0.055,0.137,0.8,0.084
C19,0.459,0.258,0.372,0.24,0.339,-0.068,0.297,0.117,0.037,0.376,0.255,0.389,0.359,-0.179,0.009,0.003,-0.061,0.032,0.245,0.072,0.449,0.217,0.447,0.437,1.0,0.056,0.061,0.026,0.015,0.022,0.039,0.025,0.017,0.044,0.052,0.016,-0.009,0.061,0.024,-0.048,0.502,-0.048
D07,0.041,0.066,0.02,0.045,0.044,-0.012,0.022,-0.041,-0.041,0.013,0.01,0.048,0.067,-0.053,0.175,-0.112,-0.118,-0.108,0.013,-0.039,0.037,0.022,0.036,0.033,0.056,1.0,0.922,0.273,0.043,0.087,0.072,0.071,0.281,0.676,0.031,0.522,-0.028,0.878,0.192,-0.004,0.026,-0.099
D08,0.048,0.078,0.025,0.051,0.05,0.005,0.03,-0.052,-0.051,0.014,0.016,0.054,0.078,-0.069,0.191,-0.102,-0.108,-0.102,0.018,-0.069,0.044,0.026,0.044,0.04,0.061,0.922,1.0,0.326,0.055,0.103,0.087,0.09,0.332,0.642,0.185,0.537,-0.022,0.938,0.207,0.002,0.031,-0.085
D09,0.079,0.127,0.038,0.094,0.089,0.167,0.087,-0.242,-0.136,0.01,0.072,0.089,0.105,-0.102,0.572,-0.105,-0.121,-0.135,0.064,-0.284,0.074,0.053,0.076,0.075,0.026,0.273,0.326,1.0,0.559,0.325,0.177,0.133,0.836,0.173,0.34,0.08,0.171,0.357,0.328,0.018,0.022,-0.115
D10,0.042,0.058,0.02,0.051,0.05,0.067,0.063,-0.111,-0.116,0.009,0.062,0.043,0.04,-0.063,0.282,-0.058,-0.071,-0.085,0.051,0.055,0.037,0.031,0.042,0.04,0.015,0.043,0.055,0.559,1.0,0.035,-0.051,0.005,0.232,0.044,0.065,0.009,0.039,0.154,0.159,-0.033,0.006,-0.094
