factor_id,t_ic,coverage,basic_pass,screen_pass
A01,-3.8626474592094238,1.0,true,true
A02,-3.200479724123402,0.9996202050892518,true,true
A03,-1.23626363067044,0.9877132485862332,false,false
A04,-0.5277927238685614,0.9521458412457273,false,false
A05,-3.3556527015481086,1.0,true,true
A06,-1.0203525964388647,0.9996202050892518,false,false
A07,0.46843542057524534,0.9521458412457273,false,false
A08,-1.103427750637278,1.0,false,false
A09,-2.1286001640262318,1.0,true,true
A10,-2.245236518824119,1.0,true,true
A11,-3.5035096245906683,1.0,false,false
A12,-3.2110571567237147,1.0,false,false
A13,-2.5975054131964814,0.988656294728401,false,false
A14,-3.7181215534814425,1.0,false,false
A15,-1.9989874531482168,1.0,false,false
A16,0.9904415658336025,0.9514970433663609,false,false
A17,-5.234821805039196,1.0,true,true
A18,-3.6373561818271827,1.0,true,true
A19,3.0242450662631453,1.0,true,true
A20,-6.143426847369133,1.0,true,true
A21,-3.9167667827209485,1.0,true,true
A22,-3.2422210116786125,1.0,true,true
A23,-2.813682582435656,1.0,true,true
A24,-2.971951723247307,1.0,true,true
A25,2.3756531053209087,0.9699192956713133,true,true
B01,-1.51457884077354,1.0,false,false
B02,-0.8461366804434672,1.0,false,false
B03,0.5922063178927192,1.0,false,false
B04,2.50737061819172,0.8762314381181804,false,false
B05,1.820868738851581,0.9988525246796001,false,false
B06,1.704895233417238,1.0,false,false
B07,3.681680954965385,0.9393433953634622,false,false
B08,2.581300382579594,0.9257625567636332,false,false
B09,-3.814118031393098,1.0,true,true
B10,-3.151189481290975,1.0,true,true
B11,-4.944634755869426,1.0,true,true
B12,-3.7461732633208262,0.9886977886977887,true,true
B13,2.129429845666887,0.8762314381181804,false,false
B14,3.1260713801654534,0.9988525246796001,true,true
B15,-3.945649276237812,1.0,true,true
C01,-3.5783919288171036,0.9988183125298385,true,true
C02,-3.466611041527664,0.9988183125298385,false,false
C03,-0.8402317581043792,0.9988183125298385,false,false
C04,-0.5703427729367362,1.0,false,false
C05,-0.3223211136937778,1.0,false,false
C06,-0.47226833844099536,1.0,false,false
C07,0.7915469762443739,1.0,false,false
C08,0.7355959782773297,1.0,false,false
C09,-1.6105555759731962,1.0,false,false
C10,-1.5445847895094746,1.0,false,false
C11,-3.7537474274714935,0.9996026012131204,true,true
C12,-4.0950788126543705,0.9996026012131204,true,true
C13,-6.861008245562654,0.9996026012131204,false,false
C14,-5.797515857150255,0.9995965878393772,false,false
C15,-0.6011254276086974,0.94312875073772,false,false
C16,1.342599893384487,0.94312875073772,false,false
C17,-1.8104525607724928,1.0,false,false
C18,-0.06178392531458567,0.9988183125298385,false,false
C19,-2.7203633465035613,1.0,true,true
C20,-1.3831709439526265,1.0,false,false
D01,1.8440839577068087,0.9983948635634029,false,false
D02,1.9440191317862603,0.9738682370261318,false,false
