arm,symbol_source,order_id,symbol,side,intent,decision_date,decision_session,live_date,live_session,engine_event,engine_shares,engine_limit_price,engine_ref_price,matcher_filled,matcher_reason,matcher_status,matcher_fill_type,matcher_fill_date,matcher_fill_session,matcher_shares,matcher_price,matcher_commission,matcher_stamp_tax,matcher_fees_total,engine_fill_id,engine_fill_shares,engine_fill_price,engine_fill_commission,engine_fill_stamp_tax,engine_fill_fees_total,fill_fields_match,probe_mode,core_fields_match,note
A1,,sz.002385-sell/risk-2020-09-09-am,sz.002385,sell,risk,2020-09-09,am,2020-09-09,pm,filled_limit_sell,1000,9.81,9.81,True,filled,full_fill,limit,2020-09-09,pm,1000,9.81,5.00,9.81,14.81,F000136,1000,9.81,5.0,9.81,14.81,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.000333-buy-2020-10-09-pm,sz.000333,buy,,2020-10-09,pm,2020-10-12,am,filled_limit_buy,200,73.39,73.39,True,filled,full_fill,limit,2020-10-12,am,200,73.39,5.00,0.00,5.00,F000137,200,73.39,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sz.000576-buy-2020-10-09-pm,sz.000576,buy,,2020-10-09,pm,2020-10-12,am,filled_limit_buy,1600,12.1,12.1,True,filled,full_fill,limit,2020-10-12,am,1600,12.1,5.00,0.00,5.00,F000138,1600,12.1,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.603338-buy-2020-10-12-pm,sh.603338,buy,,2020-10-12,pm,2020-10-13,am,filled_limit_buy,100,110.1,110.1,True,filled,full_fill,limit,2020-10-13,am,100,110.1,5.00,0.00,5.00,F000139,100,110.1,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sz.002438-buy-2020-10-12-pm,sz.002438,buy,,2020-10-12,pm,2020-10-13,am,filled_limit_buy,1400,13.7,13.7,True,filled,full_fill,limit,2020-10-13,am,1400,13.7,5.00,0.00,5.00,F000140,1400,13.7,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.603338-sell/risk-2020-10-23-am,sh.603338,sell,risk,2020-10-23,am,2020-10-23,pm,filled_limit_sell,100,97.85,97.85,True,filled,full_fill,limit,2020-10-23,pm,100,97.85,5.00,9.79,14.79,F000141,100,97.85,5.0,9.785,14.785,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.002241-buy-2020-10-26-pm,sz.002241,buy,,2020-10-26,pm,2020-10-27,am,filled_limit_buy,400,43.83,43.83,True,filled,full_fill,limit,2020-10-27,am,400,43.83,5.00,0.00,5.00,F000142,400,43.83,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sz.000333-sell/profit-2020-11-06-am,sz.000333,sell,profit,2020-11-06,am,2020-11-06,pm,filled_limit_sell,100,88.5,88.5,True,filled,full_fill,limit,2020-11-06,pm,100,88.5,5.00,8.85,13.85,F000143,100,88.5,5.0,8.85,13.85,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.002438-sell/risk-2020-11-10-pm,sz.002438,sell,risk,2020-11-10,pm,2020-11-11,am,not_penetrated,,11.93,11.93,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A1,,sz.002438-sell/risk-2020-11-11-am,sz.002438,sell,risk,2020-11-11,am,2020-11-11,pm,filled_limit_sell,1400,11.84,11.84,True,filled,full_fill,limit,2020-11-11,pm,1400,11.84,5.00,16.58,21.58,F000144,1400,11.84,5.0,16.576,21.576,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.002241-sell/risk-2020-11-12-am,sz.002241,sell,risk,2020-11-12,am,2020-11-12,pm,filled_limit_sell,400,43.64,43.64,True,filled,full_fill,limit,2020-11-12,pm,400,43.64,5.00,17.46,22.46,F000145,400,43.64,5.0,17.456,22.456,True,full,True,strict penetration: session high > q; fill at q
A1,,sh.600165-buy-2020-11-20-pm,sh.600165,buy,,2020-11-20,pm,2020-11-23,am,filled_limit_buy,2400,8.42,8.42,True,filled,full_fill,limit,2020-11-23,am,2400,8.42,5.00,0.00,5.00,F000146,2400,8.42,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.600165-sell/risk-2020-12-09-pm,sh.600165,sell,risk,2020-12-09,pm,2020-12-10,am,filled_limit_sell,2400,7.33,7.33,True,filled,full_fill,limit,2020-12-10,am,2400,7.33,5.00,17.59,22.59,F000147,2400,7.33,5.0,17.592,22.592,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.000576-sell/risk-2020-12-11-am,sz.000576,sell,risk,2020-12-11,am,2020-12-11,pm,filled_limit_sell,1600,10.41,10.41,True,filled,full_fill,limit,2020-12-11,pm,1600,10.41,5.00,16.66,21.66,F000148,1600,10.41,5.0,16.656,21.656,True,full,True,strict penetration: session high > q; fill at q
A1,,sh.603128-buy-2020-12-18-pm,sh.603128,buy,,2020-12-18,pm,2020-12-21,am,filled_limit_buy,2300,8.46,8.46,True,filled,full_fill,limit,2020-12-21,am,2300,8.46,5.00,0.00,5.00,F000149,2300,8.46,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.603665-buy-2020-12-21-pm,sh.603665,buy,,2020-12-21,pm,2020-12-22,am,filled_limit_buy,700,28.49,28.49,True,filled,full_fill,limit,2020-12-22,am,700,28.49,5.00,0.00,5.00,F000150,700,28.49,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.603212-buy-2020-12-23-pm,sh.603212,buy,,2020-12-23,pm,2020-12-24,am,filled_limit_buy,500,39.7,39.7,True,filled,full_fill,limit,2020-12-24,am,500,39.7,5.00,0.00,5.00,F000152,500,39.7,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A1,,sh.603665-sell/risk-2020-12-23-pm,sh.603665,sell,risk,2020-12-23,pm,2020-12-24,am,filled_limit_sell,100,32.91,32.91,True,filled,full_fill,limit,2020-12-24,am,100,32.91,5.00,3.29,8.29,F000151,100,32.91,5.0,3.2909999999999995,8.291,True,full,True,strict penetration: session high > q; fill at q
A1,,sz.000333-sell/profit-2020-12-28-am,sz.000333,sell,profit,2020-12-28,am,2020-12-28,pm,filled_limit_sell,100,96.0,96.0,True,filled,full_fill,limit,2020-12-28,pm,100,96.0,5.00,9.60,14.60,F000153,100,96.0,5.0,9.6,14.6,True,full,True,strict penetration: session high > q; fill at q
A1,,sh.603665-sell/risk-2020-12-29-am,sh.603665,sell,risk,2020-12-29,am,2020-12-29,pm,not_penetrated,,27.13,27.13,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A1,,sh.603665-sell/risk-2020-12-29-pm,sh.603665,sell,risk,2020-12-29,pm,2020-12-30,am,not_penetrated,,27.13,27.13,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A1,,sh.603665-sell/risk-2020-12-30-am,sh.603665,sell,risk,2020-12-30,am,2020-12-30,pm,not_penetrated,,24.42,24.42,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A1,detail_prefix,sh.603665-sell/risk-K3FB-2020-12-31-am,sh.603665,sell,risk,,,2020-12-31,am,market_exit_deferred_limitdown,,,21.98,False,limit_illegal,rejected,,,,,,,,,,,,,,,,market_fallback,True,K=3 fallback: open at limit-down; deferred
A1,,sh.603665-sell/risk-2020-12-30-pm,sh.603665,sell,risk,2020-12-30,pm,2020-12-31,am,not_penetrated,,24.42,24.42,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A1,detail_prefix,sh.603665-sell/risk-K3FB-2020-12-31-pm,sh.603665,sell,risk,,,2020-12-31,pm,market_exit_deferred_limitdown,,,21.98,False,limit_illegal,rejected,,,,,,,,,,,,,,,,market_fallback,True,K=3 fallback: open at limit-down; deferred
A1,,sh.603665-sell/risk-2020-12-31-am,sh.603665,sell,risk,2020-12-31,am,2020-12-31,pm,not_penetrated,,21.98,21.98,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A2,,sh.600536-buy-2015-03-04-pm,sh.600536,buy,,2015-03-04,pm,2015-03-05,am,filled_limit_buy,900,50.32,50.32,True,filled,full_fill,limit,2015-03-05,am,900,50.32,5.00,0.00,5.00,F000001,900,50.32,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.000548-buy-2015-03-05-pm,sz.000548,buy,,2015-03-05,pm,2015-03-06,am,filled_limit_buy,5300,9.36,9.36,True,filled,full_fill,limit,2015-03-06,am,5300,9.36,5.00,0.00,5.00,F000002,5300,9.36,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sh.600177-buy-2015-03-06-pm,sh.600177,buy,,2015-03-06,pm,2015-03-09,am,filled_limit_buy,3500,14.19,14.19,True,filled,full_fill,limit,2015-03-09,am,3500,14.19,5.00,0.00,5.00,F000003,3500,14.19,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.000748-buy-2015-03-06-pm,sz.000748,buy,,2015-03-06,pm,2015-03-09,am,filled_limit_buy,1100,45.18,45.18,True,filled,full_fill,limit,2015-03-09,am,1100,45.18,5.00,0.00,5.00,F000004,1100,45.18,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sh.600177-sell/profit-2015-03-23-am,sh.600177,sell,profit,2015-03-23,am,2015-03-23,pm,filled_limit_sell,1800,17.39,17.39,True,filled,full_fill,limit,2015-03-23,pm,1800,17.39,5.00,31.30,36.30,F000005,1800,17.39,5.0,31.302,36.302,True,full,True,strict penetration: session high > q; fill at q
A2,,sh.600177-sell/profit-2015-03-27-am,sh.600177,sell,profit,2015-03-27,am,2015-03-27,pm,filled_limit_sell,1700,18.53,18.53,True,filled,full_fill,limit,2015-03-27,pm,1700,18.53,5.00,31.50,36.50,F000006,1700,18.53,5.0,31.501000000000005,36.501000000000005,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.000024-buy-2015-03-27-pm,sz.000024,buy,,2015-03-27,pm,2015-03-30,am,filled_limit_buy,1700,30.4,30.4,True,filled,full_fill,limit,2015-03-30,am,1700,30.4,5.17,0.00,5.17,F000007,1700,30.4,5.168,0.0,5.168,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.000548-sell/profit-2015-04-07-am,sz.000548,sell,profit,2015-04-07,am,2015-04-07,pm,session_expired,,12.25,12.25,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A2,,sz.000548-sell/profit-2015-04-07-pm,sz.000548,sell,profit,2015-04-07,pm,2015-04-08,am,filled_limit_sell,2700,12.25,12.25,True,filled,full_fill,limit,2015-04-08,am,2700,12.25,5.00,33.08,38.08,F000008,2700,12.25,5.0,33.075,38.075,True,full,True,strict penetration: session high > q; fill at q
