arm,order_id,symbol,side,live_date,live_session,limit_price,half_high,half_low,minute_day_high,minute_day_low,half_extremes_within_minute_range,finer_granularity_would_fill,other_session_high,other_session_low,halfday_verdict_conservative_miss,miss_attributable_to_this_session
SIG-old,sz.002812-sell/risk-2018-01-31-pm,sz.002812,sell,2018-02-01,am,90.48,90.29,88.08,90.29,88.01,True,False,89.16,88.01,False,True
SIG-old,sh.600355-buy-2018-02-28-pm,sh.600355,buy,2018-03-01,am,5.16,5.56,5.16,5.5600000000000005,5.16,True,False,5.38,5.28,False,True
SIG-old,sz.000868-sell/risk-2018-03-13-pm,sz.000868,sell,2018-03-14,am,7.45,7.39,7.21,7.390000000000001,7.13,True,False,7.27,7.13,False,True
SIG-old,sz.000868-sell/risk-2018-03-30-pm,sz.000868,sell,2018-04-02,am,6.65,6.65,6.52,6.79,6.5200000000000005,True,True,6.79,6.56,True,False
SIG-old,sh.600146-sell/risk-2018-04-27-pm,sh.600146,sell,2018-05-02,am,28.63,28.47,27.69,29.18,27.69,True,True,29.18,27.9,True,False
SIG-old,sh.603559-sell/risk-2018-05-31-pm,sh.603559,sell,2018-06-01,am,27.08,26.93,26.37,26.93,25.5,True,False,26.65,25.5,False,True
SIG-old,sz.002419-sell/risk-2018-05-31-pm,sz.002419,sell,2018-06-01,am,16.51,16.39,15.91,16.39,15.610000000000001,True,False,16.22,15.61,False,True
SIG-old,sz.002405-buy-2018-07-31-pm,sz.002405,buy,2018-08-01,am,18.98,19.27,19.01,19.27,18.81,True,True,19.09,18.81,True,False
SIG-old,sh.600856-sell/risk-2018-07-31-pm,sh.600856,sell,2018-08-01,am,6.64,6.64,6.41,6.640000000000001,6.18,True,True,6.43,6.18,True,True
SIG-old,sh.600856-sell/risk-2018-08-01-am,sh.600856,sell,2018-08-01,pm,6.43,6.43,6.18,6.640000000000001,6.18,True,True,6.64,6.41,True,False
SIG-old,sh.600856-sell/risk-2018-08-01-pm,sh.600856,sell,2018-08-02,am,6.24,6.14,5.9,6.140000000000001,5.76,True,False,5.94,5.76,False,True
SIG-old,sh.600132-buy-2018-08-31-pm,sh.600132,buy,2018-09-03,am,25.4,26.22,25.41,26.490000000000002,25.41,True,False,26.49,25.92,False,True
SIG-old,sz.002488-sell/risk-2018-08-31-pm,sz.002488,sell,2018-09-03,am,11.15,10.95,10.04,10.950000000000001,10.040000000000001,True,False,10.04,10.04,False,True
SIG-old,sz.002488-sell/risk-2018-09-03-am,sz.002488,sell,2018-09-03,pm,10.04,10.04,10.04,10.950000000000001,10.040000000000001,True,True,10.95,10.04,True,False
SIG-old,sh.600132-sell/risk-2018-09-28-pm,sh.600132,sell,2018-10-08,am,29.21,29.13,28.01,29.13,28.01,True,False,28.71,28.21,False,True
SIG-old,sh.603833-sell/risk-2018-09-28-pm,sh.603833,sell,2018-10-08,am,94.75,93.0,89.14,93.0,87.07000000000001,True,False,91.62,87.07,False,True
SIG-old,sh.603939-sell/risk-2018-09-28-pm,sh.603939,sell,2018-10-08,am,57.45,57.01,55.01,57.01,54.21,True,False,55.6,54.21,False,True
SIG-old,sz.000568-sell/risk-2018-09-28-pm,sz.000568,sell,2018-10-08,am,47.51,46.65,45.01,46.65,44.480000000000004,True,False,45.32,44.48,False,True
SIG-old,sh.603939-sell/risk-2018-10-08-am,sh.603939,sell,2018-10-08,pm,55.69,55.6,54.21,57.01,54.21,True,True,57.01,55.01,True,False
SIG-old,sh.603939-sell/risk-2018-10-08-pm,sh.603939,sell,2018-10-09,am,54.4,53.99,50.1,53.99,48.96,True,False,50.74,48.96,False,True
SIG-old,sz.002547-sell/risk-2018-10-11-pm,sz.002547,sell,2018-10-12,am,2.98,2.97,2.69,2.97,2.69,True,False,2.93,2.85,False,True
SIG-old,sh.600271-buy-2018-10-16-pm,sh.600271,buy,2018-10-17,am,21.52,22.38,21.71,22.38,21.48,True,True,22.33,21.48,True,False
SIG-old,sz.000989-buy-2018-10-31-pm,sz.000989,buy,2018-11-01,am,10.2,10.65,10.21,10.68,10.21,True,False,10.68,10.31,False,True
SIG-old,sz.000034-sell/risk-2018-11-12-pm,sz.000034,sell,2018-11-13,am,16.26,16.22,14.67,16.22,14.67,True,False,15.62,14.8,False,True
SIG-old,sh.600312-buy-2018-11-30-pm,sh.600312,buy,2018-12-03,am,8.14,8.46,8.18,8.46,8.16,True,False,8.35,8.16,False,True
SIG-old,sz.000988-buy-2018-11-30-pm,sz.000988,buy,2018-12-03,am,11.89,12.64,12.22,12.64,12.22,True,False,12.6,12.46,False,True
SIG-old,sz.000533-buy-2018-12-28-pm,sz.000533,buy,2019-01-02,am,2.53,2.78,2.56,2.7800000000000002,2.56,True,False,2.78,2.78,False,True
SIG-old,sh.600312-sell/risk-2018-12-28-pm,sh.600312,sell,2019-01-02,am,8.08,7.9,7.5,7.9,7.5,True,False,7.7,7.58,False,True
SIG-old,sz.000533-buy-2019-01-02-am,sz.000533,buy,2019-01-02,pm,2.78,2.78,2.78,2.7800000000000002,2.56,True,True,2.78,2.56,True,False
SIG-old,sz.000533-buy-2019-01-02-pm,sz.000533,buy,2019-01-03,am,2.78,3.06,2.82,3.06,2.82,True,False,3.06,3.06,False,True
SIG-old,sz.000533-buy-2019-01-03-am,sz.000533,buy,2019-01-03,pm,3.06,3.06,3.06,3.06,2.82,True,True,3.06,2.82,True,False
SIG-old,sh.600128-buy-2019-01-31-pm,sh.600128,buy,2019-02-01,am,6.21,6.46,6.32,6.5200000000000005,6.32,True,False,6.52,6.38,False,True
SIG-old,sh.600290-buy-2019-01-31-pm,sh.600290,buy,2019-02-01,am,3.97,4.19,4.04,4.29,4.04,True,False,4.29,4.17,False,True
SIG-old,sh.600146-buy-2019-01-31-pm,sh.600146,buy,2019-02-01,am,4.9,5.04,4.92,5.1000000000000005,4.92,True,False,5.1,4.98,False,True
SIG-old,sh.600128-buy-2019-02-01-am,sh.600128,buy,2019-02-01,pm,6.37,6.52,6.38,6.5200000000000005,6.32,True,True,6.46,6.32,True,False
SIG-old,sh.600290-buy-2019-02-01-am,sh.600290,buy,2019-02-01,pm,4.17,4.29,4.17,4.29,4.04,True,True,4.19,4.04,True,False
SIG-old,sh.600128-buy-2019-02-01-pm,sh.600128,buy,2019-02-11,am,6.5,6.87,6.55,6.87,6.55,True,False,6.85,6.73,False,True
SIG-old,sh.600290-buy-2019-02-01-pm,sh.600290,buy,2019-02-11,am,4.23,4.46,4.25,4.47,4.25,True,False,4.47,4.4,False,True
SIG-old,sh.600128-sell/risk-2019-02-22-am,sh.600128,sell,2019-02-22,pm,8.36,8.36,8.36,8.36,7.58,True,False,8.36,7.58,False,True
SIG-old,sh.600146-sell/profit-2019-02-22-am,sh.600146,sell,2019-02-22,pm,6.96,6.96,6.96,6.96,6.34,True,False,6.96,6.34,False,True
SIG-old,sz.002243-buy-2019-02-22-pm,sz.002243,buy,2019-02-25,am,22.21,24.43,23.6,24.43,23.6,True,False,24.43,24.43,False,True
SIG-old,sz.002243-buy-2019-02-25-am,sz.002243,buy,2019-02-25,pm,24.43,24.43,24.43,24.43,23.6,True,True,24.43,23.6,True,False
SIG-old,sh.600290-sell/risk-2019-02-25-pm,sh.600290,sell,2019-02-26,am,5.38,5.37,5.14,5.5600000000000005,5.14,True,True,5.56,5.25,True,False
SIG-old,sh.600776-sell/profit-2019-03-07-am,sh.600776,sell,2019-03-07,pm,40.49,40.49,39.91,40.49,37.6,True,False,40.49,37.6,False,True
SIG-old,sz.002464-buy-2019-03-29-pm,sz.002464,buy,2019-04-01,am,11.5,12.25,11.58,12.5,11.58,True,False,12.5,12.04,False,True
SIG-old,sz.002588-buy-2019-03-29-pm,sz.002588,buy,2019-04-01,am,5.0,5.1,5.01,5.14,5.01,True,False,5.14,5.1,False,True
SIG-old,sz.002588-buy-2019-04-01-am,sz.002588,buy,2019-04-01,pm,5.09,5.14,5.1,5.14,5.01,True,True,5.1,5.01,True,False
SIG-old,sz.002588-sell/risk-2019-04-08-pm,sz.002588,sell,2019-04-09,am,5.93,5.78,5.6,5.78,5.59,True,False,5.69,5.59,False,True
SIG-old,sz.002761-buy-2019-04-16-am,sz.002761,buy,2019-04-16,pm,21.81,21.81,21.81,21.81,21.81,True,False,21.81,21.81,False,True
SIG-old,sz.002761-buy-2019-04-16-pm,sz.002761,buy,2019-04-17,am,21.81,23.99,22.88,23.990000000000002,22.88,True,False,23.99,23.99,False,True
SIG-old,sz.002761-buy-2019-04-17-am,sz.002761,buy,2019-04-17,pm,23.99,23.99,23.99,23.990000000000002,22.88,True,True,23.99,22.88,True,False
SIG-old,sz.002589-buy-2019-04-29-pm,sz.002589,buy,2019-04-30,am,7.3,7.86,7.33,7.86,7.33,True,False,7.74,7.56,False,True
SIG-old,sz.002588-sell/risk-2019-04-30-pm,sz.002588,sell,2019-05-06,am,4.92,4.9,4.8,4.9,4.58,True,False,4.83,4.58,False,True
SIG-old,sz.000948-sell/risk-2019-05-28-am,sz.000948,sell,2019-05-28,pm,12.3,12.3,12.3,12.3,12.3,True,False,12.3,12.3,False,True
SIG-old,sh.603266-buy-2019-05-31-pm,sh.603266,buy,2019-06-03,am,13.92,15.31,14.12,15.31,14.120000000000001,True,False,15.31,14.6,False,True
SIG-old,sh.600151-sell/risk-2019-05-31-pm,sh.600151,sell,2019-06-03,am,5.61,5.61,5.44,5.61,5.43,True,False,5.52,5.43,False,True
SIG-old,sz.002537-sell/risk-2019-05-31-pm,sz.002537,sell,2019-06-03,am,7.83,7.78,7.4,7.78,7.33,True,False,7.51,7.33,False,True
SIG-old,sz.002119-buy-2019-06-28-pm,sz.002119,buy,2019-07-01,am,12.41,12.99,12.6,13.07,12.6,True,False,13.07,12.87,False,True
SIG-old,sh.600277-buy-2019-06-28-pm,sh.600277,buy,2019-07-01,am,4.87,5.04,4.93,5.08,4.93,True,False,5.08,5.01,False,True
SIG-old,sz.002668-buy-2019-06-28-pm,sz.002668,buy,2019-07-01,am,5.18,5.35,5.25,5.36,5.25,True,False,5.36,5.3,False,True
SIG-old,sz.000159-buy-2019-06-28-pm,sz.000159,buy,2019-07-01,am,7.58,7.91,7.7,8.02,7.7,True,False,8.02,7.85,False,True
