t,rank_ic
2016-01-29,0.044462220592477224
2016-02-29,0.17041669435916185
2016-03-31,0.01568021459937477
2016-04-29,0.012537879089734855
2016-05-31,0.05422342036188539
2016-06-30,0.10893817299253979
2016-07-29,0.15986118754836467
2016-08-31,-0.0025572848934648697
2016-09-30,0.023780717007944714
2016-10-31,0.08560044088501324
2016-11-30,0.05527161245782858
2016-12-30,0.002725043670222317
2017-01-26,0.03566199198427417
2017-02-28,0.056865643439957814
2017-03-31,-0.07679293856632391
2017-04-28,-0.049613870171456055
2017-05-31,0.08434013216289392
2017-06-30,0.1577277330418772
2017-07-31,0.09998940248370514
2017-08-31,0.04572373881190799
2017-09-29,0.06547512441905541
2017-10-31,0.07364937044631877
2017-11-30,-0.0896191831797741
2017-12-29,0.006878710638831155
2018-01-31,0.14892975496648028
2018-02-28,0.13907408160929288
2018-03-30,-0.019099513776104585
2018-04-27,0.03639654365166038
2018-05-31,-0.007905606467826915
2018-06-29,0.10142663883253093
2018-07-31,0.03009817568417264
2018-08-31,0.07017874741912303
2018-09-28,-0.08169646480528583
2018-10-31,0.20939370430377122
2018-11-30,-0.0477594096849546
2018-12-28,0.040145630831072254
2019-01-31,0.24685207398891548
2019-02-28,-0.027421074992298126
2019-03-29,0.04096697254898359
2019-04-30,0.09838821596258543
2019-05-31,0.04153940010684928
2019-06-28,0.08165143981772947
2019-07-31,-0.026274272595431778
2019-08-30,-0.021608749223523283
2019-09-30,0.016336891122211285
2019-10-31,0.023998682387189506
2019-11-29,0.018452595351332687
2019-12-31,0.018952695011385204
2020-01-23,-0.04365279431498561
2020-02-28,0.12590440588679297
2020-03-31,0.02215566445018433
2020-04-30,0.05159045615217864
2020-05-29,0.08016284636472741
2020-06-30,0.045218487392058894
2020-07-31,0.15095486508820993
2020-08-31,0.06607350037276666
2020-09-30,-0.0958047196235748
2020-10-30,0.08105252705270276
2020-11-30,-0.034434281697449894
