symbol,date,div_per_share
sh.510050,2016-11-29,0.052999999999999936
sh.510050,2017-11-28,0.05400000000000027
sh.510050,2018-12-03,0.04900000000000038
sh.510050,2019-12-02,0.04700000000000015
sh.510050,2020-11-30,0.051000000000000156
sh.510180,2015-11-18,0.051000000000000156
sh.510180,2017-11-16,0.13099999999999978
sh.510180,2019-11-19,0.1200000000000001
sh.510180,2020-11-18,0.06700000000000017
sh.510300,2015-01-20,0.0349999999999997
sh.510300,2016-01-20,0.051000000000000156
sh.510300,2017-01-23,0.05500000000000016
sh.510300,2018-01-23,0.045999999999999375
sh.510300,2019-01-16,0.05900000000000016
sh.510300,2019-12-11,0.06199999999999983
sh.510330,2018-11-08,0.1629999999999998
sh.510330,2018-12-11,0.16000000000000014
sh.510330,2020-01-14,0.07100000000000062
sh.510880,2015-01-20,0.08000000000000007
sh.510880,2016-01-20,0.04999999999999982
sh.510880,2017-01-23,0.09100000000000019
sh.510880,2018-01-23,0.10899999999999999
sh.510880,2019-01-16,0.09799999999999986
sh.510880,2020-01-17,0.14400000000000013
sh.510900,2018-06-29,0.050000000000000044
sh.511010,2015-10-09,1.0
sh.511880,2015-12-31,3.326999999999998
sh.511880,2016-12-30,2.539999999999992
sh.511880,2017-12-29,3.578000000000003
sh.511880,2018-12-28,3.503
sh.511880,2019-12-31,2.5189999999999912
sh.511880,2020-12-31,2.0150000000000006
sz.159920,2018-06-22,0.07600000000000007
sz.160706,2018-01-16,0.02299999999999991
sz.160706,2020-04-03,0.030000000000000027
