dataset,dir,family,shape,n_chunks,date_first,date_last,dev_days,val_days,days_2025plus,sample_cols,pit_fields,sample_symbols,sampled,sample_date_first,sample_date_last
tushare/index_daily,D:\量化\data\raw\tushare\index_daily,行业/指数,per_symbol_chunks,5,,,,,,"[""ts_code"", ""trade_date"", ""close"", ""open"", ""high"", ""low"", ""pre_close"", ""change"", ""pct_chg"", ""vol"", ""amount""]",[],,5,20150105,20241231
tushare/sw_index_daily,D:\量化\data\raw\tushare\sw_index_daily,行业/指数,per_symbol_chunks,125,,,,,,"[""代码"", ""日期"", ""收盘"", ""开盘"", ""最高"", ""最低"", ""成交量"", ""成交额""]",[],,40,,
tushare/sw_index_daily_l2,D:\量化\data\raw\tushare\sw_index_daily_l2,行业/指数,per_symbol_chunks,131,,,,,,"[""代码"", ""日期"", ""收盘"", ""开盘"", ""最高"", ""最低"", ""成交量"", ""成交额""]",[],,40,,
xiaodefa/adj_factor,D:\量化\data\raw\xiaodefa\adj_factor,量价/复权,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""adj_factor""]",[],5819,,,
xiaodefa/suspend_d,D:\量化\data\raw\xiaodefa\suspend_d,量价/停复牌,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""suspend_timing"", ""suspend_type""]",[],174,,,
xiaodefa/stk_auction_c,D:\量化\data\raw\xiaodefa\stk_auction_c,微观/竞价,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""close"", ""open"", ""high"", ""low"", ""vol"", ""amount"", ""vwap""]",[],5808,,,
xiaodefa/stk_auction_o,D:\量化\data\raw\xiaodefa\stk_auction_o,微观/竞价,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""close"", ""open"", ""high"", ""low"", ""vol"", ""amount"", ""vwap""]",[],5808,,,
xiaodefa/moneyflow,D:\量化\data\raw\xiaodefa\moneyflow,微观/资金流,date_chunks,3088,20140102,20260911,1462,969,412,"[""trade_date"", ""ts_code"", ""buy_elg_amount"", ""buy_elg_vol"", ""buy_lg_amount"", ""buy_lg_vol"", ""buy_md_amount"", ""buy_md_vol"", ""buy_sm_amount"", ""buy_sm_vol"", ""net_mf_amount"", ""net_mf_vol"", ""sell_elg_amount"", ""sell_elg_vol""]",[],5800,,,
xiaodefa/cyq_perf,D:\量化\data\raw\xiaodefa\cyq_perf,微观/筹码,date_chunks,2111,20180102,20260911,730,969,412,"[""ts_code"", ""trade_date"", ""cost_15pct"", ""cost_50pct"", ""cost_5pct"", ""cost_85pct"", ""cost_95pct"", ""his_high"", ""his_low"", ""weight_avg"", ""winner_rate""]",[],5605,,,
xiaodefa/stk_nineturn,D:\量化\data\raw\xiaodefa\stk_nineturn,微观/九转,date_chunks,3088,20140102,20260911,1462,969,412,"[""ts_code"", ""trade_date"", ""freq"", ""open"", ""high"", ""low"", ""close"", ""vol"", ""amount"", ""up_count"", ""down_count"", ""nine_up_turn"", ""nine_down_turn""]",[],5640,,,
